"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Trajectory 1/0/X";"Trajectory 1/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"1.177416";"25.42095";"6.228721";"4.82346";"7.578885";"26.93903";"-1.351767";"41.41561";"1.177416";"25.42095";"6.228721";"4.82346";"7.578885";"26.93903"
"8.341666";"1.619185";"25.23188";"6.480511";"4.741791";"7.626449";"26.91038";"-1.425742";"41.35953";"1.619185";"25.23188";"6.480511";"4.741791";"7.626449";"26.91038"
"16.68333";"2.045238";"25.21343";"6.833948";"4.729416";"8.081239";"26.80813";"-1.011614";"41.27935";"2.045238";"25.21343";"6.833948";"4.729416";"8.081239";"26.80813"
"25.025";"2.520862";"25.24842";"7.193089";"4.693264";"8.568434";"26.84888";"-0.5035309";"41.26969";"2.520862";"25.24842";"7.193089";"4.693264";"8.568434";"26.84888"
"33.36666";"3.029436";"25.27827";"7.513803";"4.661949";"9.066894";"26.95925";"0.03598893";"41.31843";"3.029436";"25.27827";"7.513803";"4.661949";"9.066894";"26.95925"
"41.70833";"3.595122";"25.26943";"7.767801";"4.636715";"9.556937";"27.07124";"0.6244865";"41.34017";"3.595122";"25.26943";"7.767801";"4.636715";"9.556937";"27.07124"
"50.05";"4.193092";"25.21803";"7.90446";"4.591335";"9.96311";"27.06384";"1.253793";"41.36228";"4.193092";"25.21803";"7.90446";"4.591335";"9.96311";"27.06384"
"58.39167";"4.62434";"25.20227";"7.988018";"4.559059";"10.36113";"26.93318";"1.908323";"41.3581";"4.62434";"25.20227";"7.988018";"4.559059";"10.36113";"26.93318"
"66.73333";"4.96118";"25.18972";"8.110495";"4.546162";"10.75051";"26.7608";"2.519236";"41.37062";"4.96118";"25.18972";"8.110495";"4.546162";"10.75051";"26.7608"
"75.075";"5.298237";"25.20629";"8.234106";"4.557373";"11.09517";"26.60231";"3.121676";"41.38668";"5.298237";"25.20629";"8.234106";"4.557373";"11.09517";"26.60231"
"83.41666";"5.67412";"25.22032";"8.334384";"4.557644";"11.43324";"26.49731";"3.616439";"41.44566";"5.67412";"25.22032";"8.334384";"4.557644";"11.43324";"26.49731"
"91.75833";"6.034461";"25.25463";"8.423967";"4.56073";"11.76403";"26.47082";"4.140243";"41.45564";"6.034461";"25.25463";"8.423967";"4.56073";"11.76403";"26.47082"
"100.1";"6.357684";"25.25298";"8.468416";"4.558445";"12.06585";"26.50438";"4.643358";"41.48593";"6.357684";"25.25298";"8.468416";"4.558445";"12.06585";"26.50438"
"108.4417";"6.665251";"25.25156";"8.52961";"4.564957";"12.36029";"26.50609";"5.122573";"41.48776";"6.665251";"25.25156";"8.52961";"4.564957";"12.36029";"26.50609"
"116.7833";"6.984624";"25.21017";"8.588071";"4.562378";"12.61395";"26.48942";"5.555255";"41.48999";"6.984624";"25.21017";"8.588071";"4.562378";"12.61395";"26.48942"
"125.125";"7.207804";"25.22953";"8.632878";"4.559372";"12.8537";"26.40966";"5.945496";"41.49443";"7.207804";"25.22953";"8.632878";"4.559372";"12.8537";"26.40966"
"133.4667";"7.404057";"25.22635";"8.648068";"4.558788";"13.06912";"26.30359";"6.314695";"41.48991";"7.404057";"25.22635";"8.648068";"4.558788";"13.06912";"26.30359"
"141.8083";"7.573671";"25.20978";"8.673029";"4.556732";"13.22332";"26.20731";"6.599647";"41.49422";"7.573671";"25.20978";"8.673029";"4.556732";"13.22332";"26.20731"
"150.15";"7.663717";"25.21842";"8.673889";"4.562008";"13.38409";"26.13327";"6.88673";"41.46682";"7.663717";"25.21842";"8.673889";"4.562008";"13.38409";"26.13327"
"158.4917";"7.810141";"25.20177";"8.680637";"4.564308";"13.53216";"26.08667";"7.127988";"41.4679";"7.810141";"25.20177";"8.680637";"4.564308";"13.53216";"26.08667"
"166.8333";"7.928405";"25.17878";"8.685692";"4.560749";"13.66588";"26.08222";"7.350792";"41.46935";"7.928405";"25.17878";"8.685692";"4.560749";"13.66588";"26.08222"
"175.175";"8.046406";"25.18704";"8.691187";"4.560238";"13.80308";"26.03868";"7.571903";"41.47475";"8.046406";"25.18704";"8.691187";"4.560238";"13.80308";"26.03868"
"183.5167";"8.19319";"25.17959";"8.695797";"4.554527";"13.92972";"26.00042";"7.787374";"41.48625";"8.19319";"25.17959";"8.695797";"4.554527";"13.92972";"26.00042"
"191.8583";"8.2903";"25.18634";"8.702619";"4.551304";"14.05082";"25.96274";"8.009614";"41.48855";"8.2903";"25.18634";"8.702619";"4.551304";"14.05082";"25.96274"
"200.2";"8.425454";"25.17203";"8.702377";"4.55014";"14.17281";"25.92744";"8.213428";"41.49301";"8.425454";"25.17203";"8.702377";"4.55014";"14.17281";"25.92744"
"208.5417";"8.524876";"25.15776";"8.701703";"4.546822";"14.2938";"25.90549";"8.43328";"41.49627";"8.524876";"25.15776";"8.701703";"4.546822";"14.2938";"25.90549"
"216.8833";"8.645842";"25.15996";"8.702024";"4.544544";"14.3968";"25.86895";"8.630063";"41.49385";"8.645842";"25.15996";"8.702024";"4.544544";"14.3968";"25.86895"
"225.225";"8.788408";"25.15309";"8.71128";"4.538612";"14.51706";"25.83976";"8.847985";"41.4907";"8.788408";"25.15309";"8.71128";"4.538612";"14.51706";"25.83976"
