"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.5208824"
"17";"1.052135"
"25";"1.602087"
"33";"2.177651"
"42";"2.787837"
"50";"3.442966"
"58";"4.144129"
"67";"4.873642"
"75";"5.598107"
"83";"6.284331"
"92";"6.917825"
"100";"7.507517"
"108";"8.071905"
"117";"8.621581"
"125";"9.152387"
"133";"9.649426"
"142";"10.09578"
"150";"10.48096"
"158";"10.80557"
"167";"11.08071"
"175";"11.32447"
"184";"11.55674"
"192";"11.79205"
"200";"12.03475"
"209";"12.28066"
"217";"12.52252"
"225";"12.75397"
"234";"12.96938"
"242";"13.16277"
"250";"13.32988"
"259";"13.47192"
"267";"13.59721"
"275";"13.7185"
"284";"13.84833"
"292";"13.99543"
"300";"14.16151"
"309";"14.34106"
"317";"14.52589"
"325";"14.70956"
"334";"14.88826"
"342";"15.05978"
"350";"15.22484"
"359";"15.38789"
"367";"15.55186"
"375";"15.71266"
"384";"15.86326"
"392";"16.00267"
"400";"16.13651"
"409";"16.26956"
"417";"16.40289"
"425";"16.53607"
"434";"16.66913"
"442";"16.80413"
"450";"16.94454"
"459";"17.09177"
"467";"17.2437"
"475";"17.39684"
"484";"17.54822"
"492";"17.69551"
"500";"17.8385"
"509";"17.9813"
"517";"18.1297"
"526";"18.28584"
"534";"18.44784"
"542";"18.61298"
"551";"18.78015"
"559";"18.95092"
"567";"19.12771"
"576";"19.31182"
"584";"19.50462"
"592";"19.70899"
"601";"19.92963"
"609";"20.17209"
"617";"20.43836"
"626";"20.72416"
"634";"21.0243"
"642";"21.33809"
"651";"21.66723"
"659";"22.01202"
"667";"22.37116"
"676";"22.74287"
"684";"23.12528"
"692";"23.51667"
"701";"23.91607"
"709";"24.32423"
"717";"24.74313"
"726";"25.17385"
"734";"25.61586"
"742";"26.0681"
"751";"26.52958"
"759";"26.99975"
"767";"27.47937"
"776";"27.9709"
"784";"28.47813"
"792";"29.00641"
"801";"29.56131"
"809";"30.14513"
"817";"30.75718"
"826";"31.39855"
"834";"32.07298"
"843";"32.78405"
"851";"33.53569"
"859";"34.33435"
"868";"35.18699"
"876";"36.0974"
"884";"37.06691"
"893";"38.09802"
"901";"39.19468"
"909";"40.35984"
"918";"41.59508"
"926";"42.89824"
"934";"44.25649"
"943";"45.64505"
