"Time (ms)";"Trajectory 1"
"0";"0"
"8";"-0.14505"
"17";"-0.2749405"
"25";"-0.3782005"
"33";"-0.4479294"
"42";"-0.4811096"
"50";"-0.4794006"
"58";"-0.4504662"
"67";"-0.4067078"
"75";"-0.3612404"
"83";"-0.3237228"
"92";"-0.2980881"
"100";"-0.2827873"
"108";"-0.2730293"
"117";"-0.2640915"
"125";"-0.2539406"
"133";"-0.2430305"
"142";"-0.232235"
"150";"-0.2222786"
"158";"-0.2139626"
"167";"-0.2072525"
"175";"-0.2008286"
"184";"-0.1934891"
"192";"-0.18573"
"200";"-0.1791801"
"209";"-0.1745605"
"217";"-0.171299"
"225";"-0.1690063"
"234";"-0.1681862"
"242";"-0.1695709"
"250";"-0.1735191"
"259";"-0.1798897"
"267";"-0.1882553"
"275";"-0.1981812"
"284";"-0.2093697"
"292";"-0.2218285"
"300";"-0.2360039"
"309";"-0.2525063"
"317";"-0.2711334"
"325";"-0.2902412"
"334";"-0.3076363"
"342";"-0.3222122"
"350";"-0.3344269"
"359";"-0.3454514"
"367";"-0.3562279"
"375";"-0.3670006"
"384";"-0.3775406"
"392";"-0.3876648"
"400";"-0.397274"
"409";"-0.4060822"
"417";"-0.4134789"
"425";"-0.4188576"
"434";"-0.4223557"
"442";"-0.424675"
"450";"-0.4262505"
"459";"-0.4273071"
"467";"-0.4280434"
"475";"-0.4283295"
"484";"-0.4281921"
"492";"-0.4284897"
"500";"-0.4305153"
"509";"-0.4348602"
"517";"-0.4405174"
"526";"-0.4457932"
"534";"-0.4503098"
"542";"-0.4549446"
"551";"-0.4599228"
"559";"-0.4643822"
"567";"-0.4681206"
"576";"-0.4731407"
"584";"-0.482605"
"592";"-0.4979095"
"601";"-0.5172577"
"609";"-0.5378151"
"617";"-0.5585556"
"626";"-0.5800552"
"634";"-0.6024246"
"642";"-0.6247292"
"651";"-0.6458054"
"659";"-0.6647301"
"667";"-0.6811562"
"676";"-0.6956444"
"684";"-0.7093239"
"692";"-0.722908"
"701";"-0.7359505"
"709";"-0.7472725"
"717";"-0.7566376"
"726";"-0.7652206"
"734";"-0.7737579"
"742";"-0.7814102"
"751";"-0.7867928"
"759";"-0.7892838"
"767";"-0.789238"
"776";"-0.7877159"
"784";"-0.7861176"
"792";"-0.7853622"
"801";"-0.7848587"
"809";"-0.782711"
"817";"-0.777317"
"826";"-0.7688675"
"834";"-0.7590485"
"843";"-0.7490692"
"851";"-0.7389984"
"859";"-0.7291145"
"868";"-0.7200546"
"876";"-0.7117767"
"884";"-0.7034912"
"893";"-0.6942978"
"901";"-0.6835251"
"909";"-0.6709518"
"918";"-0.6563606"
"926";"-0.6384468"
"934";"-0.6146088"
"943";"-0.5816422"
"951";"-0.536602"
"959";"-0.4775124"
"968";"-0.4037476"
"976";"-0.3164063"
"984";"-0.2186661"
"993";"-0.1152916"
