"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Trajectory 1/0/X";"Trajectory 1/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"1.103381";"30.72792";"-12.15128";"14.6173";"6.53157";"26.34013";"12.05022";"41.76522";"1.103381";"30.72792";"-12.15128";"14.6173";"6.53157";"26.34013"
"8.341666";"2.089878";"30.92086";"-11.36546";"14.87847";"6.484572";"26.27776";"13.15485";"41.93769";"2.089878";"30.92086";"-11.36546";"14.87847";"6.484572";"26.27776"
"16.68333";"3.125014";"31.16785";"-10.45781";"15.25076";"7.453905";"26.42301";"14.22507";"42.03239";"3.125014";"31.16785";"-10.45781";"15.25076";"7.453905";"26.42301"
"25.025";"4.136402";"31.37779";"-9.63676";"15.58469";"8.452149";"26.58145";"15.37068";"42.15521";"4.136402";"31.37779";"-9.63676";"15.58469";"8.452149";"26.58145"
"33.36666";"5.183418";"31.57241";"-8.733533";"15.94907";"9.462456";"26.72729";"16.47736";"42.22223";"5.183418";"31.57241";"-8.733533";"15.94907";"9.462456";"26.72729"
"41.70833";"6.283713";"31.75544";"-7.823079";"16.28073";"10.48707";"26.87499";"17.65128";"42.31374";"6.283713";"31.75544";"-7.823079";"16.28073";"10.48707";"26.87499"
"50.05";"7.324206";"31.89056";"-6.870558";"16.58178";"11.52385";"27.02922";"18.77443";"42.40461";"7.324206";"31.89056";"-6.870558";"16.58178";"11.52385";"27.02922"
"58.39167";"8.439284";"32.05037";"-5.84582";"16.82058";"12.59151";"27.16421";"19.90804";"42.50117";"8.439284";"32.05037";"-5.84582";"16.82058";"12.59151";"27.16421"
"66.73333";"9.562684";"32.18414";"-4.725312";"16.96816";"13.67325";"27.26705";"20.98579";"42.59602";"9.562684";"32.18414";"-4.725312";"16.96816";"13.67325";"27.26705"
"75.075";"10.68596";"32.28338";"-3.543276";"17.03952";"14.81916";"27.3935";"22.10951";"42.72059";"10.68596";"32.28338";"-3.543276";"17.03952";"14.81916";"27.3935"
"83.41666";"11.85035";"32.35132";"-2.383519";"17.03776";"15.97923";"27.47937";"23.18291";"42.80636";"11.85035";"32.35132";"-2.383519";"17.03776";"15.97923";"27.47937"
"91.75833";"12.98197";"32.37865";"-1.147597";"16.9683";"17.14991";"27.55571";"24.29904";"42.92952";"12.98197";"32.37865";"-1.147597";"16.9683";"17.14991";"27.55571"
"100.1";"14.12995";"32.37061";"0.1195556";"16.8379";"18.31861";"27.6155";"25.35066";"43.01281";"14.12995";"32.37061";"0.1195556";"16.8379";"18.31861";"27.6155"
"108.4417";"15.30056";"32.33309";"1.430306";"16.63432";"19.51416";"27.63483";"26.40187";"43.08794";"15.30056";"32.33309";"1.430306";"16.63432";"19.51416";"27.63483"
"116.7833";"16.48899";"32.27628";"2.902132";"16.32654";"20.71974";"27.63547";"27.48375";"43.18658";"16.48899";"32.27628";"2.902132";"16.32654";"20.71974";"27.63547"
"125.125";"17.68299";"32.21943";"4.212664";"16.07969";"21.95386";"27.6526";"28.50958";"43.25011";"17.68299";"32.21943";"4.212664";"16.07969";"21.95386";"27.6526"
"133.4667";"18.88966";"32.13244";"5.688474";"15.72947";"23.19894";"27.64899";"29.57102";"43.34538";"18.88966";"32.13244";"5.688474";"15.72947";"23.19894";"27.64899"
"141.8083";"20.0955";"32.01696";"7.28067";"15.33142";"24.44894";"27.64214";"30.56859";"43.38925";"20.0955";"32.01696";"7.28067";"15.33142";"24.44894";"27.64214"
"150.15";"21.30919";"31.86756";"8.673841";"14.93337";"25.70481";"27.60156";"31.5807";"43.43611";"21.30919";"31.86756";"8.673841";"14.93337";"25.70481";"27.60156"
"158.4917";"22.54468";"31.70911";"10.26604";"14.53532";"26.97528";"27.57849";"32.57698";"43.48934";"22.54468";"31.70911";"10.26604";"14.53532";"26.97528";"27.57849"
"166.8333";"23.78979";"31.51623";"11.85823";"14.13727";"28.30177";"27.50773";"33.59225";"43.53923";"23.78979";"31.51623";"11.85823";"14.13727";"28.30177";"27.50773"
"175.175";"25.00951";"31.32701";"13.45043";"13.73922";"29.58117";"27.46381";"34.57175";"43.55193";"25.00951";"31.32701";"13.45043";"13.73922";"29.58117";"27.46381"
"183.5167";"26.24969";"31.12127";"14.8436";"13.34117";"30.87228";"27.39663";"35.53638";"43.57019";"26.24969";"31.12127";"14.8436";"13.34117";"30.87228";"27.39663"
"191.8583";"27.4954";"30.92024";"16.43579";"12.94312";"32.20449";"27.36235";"36.47706";"43.60553";"27.4954";"30.92024";"16.43579";"12.94312";"32.20449";"27.36235"
"200.2";"28.70576";"30.7121";"18.02799";"12.54507";"33.49349";"27.29229";"37.36842";"43.65157";"28.70576";"30.7121";"18.02799";"12.54507";"33.49349";"27.29229"
"208.5417";"29.94064";"30.50714";"19.62018";"12.14703";"34.7879";"27.25969";"38.29699";"43.66622";"29.94064";"30.50714";"19.62018";"12.14703";"34.7879";"27.25969"
"216.8833";"31.18377";"30.29311";"21.21238";"11.74898";"36.07527";"27.20516";"39.1869";"43.70124";"31.18377";"30.29311";"21.21238";"11.74898";"36.07527";"27.20516"
"225.225";"32.41261";"30.07445";"22.80457";"11.35093";"37.36987";"27.18291";"40.05879";"43.71921";"32.41261";"30.07445";"22.80457";"11.35093";"37.36987";"27.18291"
"233.5667";"33.66475";"29.85482";"24.59579";"10.95288";"38.71054";"27.12608";"40.90647";"43.71515";"33.66475";"29.85482";"24.59579";"10.95288";"38.71054";"27.12608"
"241.9083";"34.91061";"29.62347";"26.38701";"10.55483";"40.00882";"27.1034";"41.76918";"43.71174";"34.91061";"29.62347";"26.38701";"10.55483";"40.00882";"27.1034"
"250.25";"36.15928";"29.41544";"28.17824";"10.15678";"41.31458";"27.07674";"42.62162";"43.71446";"36.15928";"29.41544";"28.17824";"10.15678";"41.31458";"27.07674"
"258.5917";"37.42449";"29.19378";"29.96946";"9.758732";"42.59874";"27.0589";"43.44248";"43.70593";"37.42449";"29.19378";"29.96946";"9.758732";"42.59874";"27.0589"
"266.9333";"38.69232";"28.97752";"31.76068";"9.360683";"43.89628";"27.05507";"44.26321";"43.66153";"38.69232";"28.97752";"31.76068";"9.360683";"43.89628";"27.05507"
"275.275";"39.95012";"28.78201";"33.75092";"8.962635";"45.17809";"27.0657";"45.0776";"43.64488";"39.95012";"28.78201";"33.75092";"8.962635";"45.17809";"27.0657"
"283.6167";"41.20066";"28.59489";"35.54214";"8.564587";"46.46159";"27.08681";"45.87141";"43.62969";"41.20066";"28.59489";"35.54214";"8.564587";"46.46159";"27.08681"
"291.9583";"42.44815";"28.41527";"37.44599";"8.285242";"47.70428";"27.12669";"46.64149";"43.63217";"42.44815";"28.41527";"37.44599";"8.285242";"47.70428";"27.12669"
"300.3";"43.69531";"28.26392";"39.3236";"7.967514";"48.92529";"27.19102";"47.41446";"43.61094";"43.69531";"28.26392";"39.3236";"7.967514";"48.92529";"27.19102"
"308.6417";"44.888";"28.12247";"41.15316";"7.762112";"50.14896";"27.24341";"48.14409";"43.59715";"44.888";"28.12247";"41.15316";"7.762112";"50.14896";"27.24341"
"316.9833";"46.06315";"28.0113";"42.9703";"7.554108";"51.33912";"27.3166";"48.85098";"43.58818";"46.06315";"28.0113";"42.9703";"7.554108";"51.33912";"27.3166"
"325.325";"47.23726";"27.88718";"44.7873";"7.362289";"52.48302";"27.40716";"49.54482";"43.58197";"47.23726";"27.88718";"44.7873";"7.362289";"52.48302";"27.40716"
"333.6667";"48.35465";"27.80266";"46.5794";"7.207531";"53.63864";"27.50481";"50.22286";"43.55586";"48.35465";"27.80266";"46.5794";"7.207531";"53.63864";"27.50481"
"342.0083";"49.47293";"27.72296";"48.2677";"7.073299";"54.7383";"27.60991";"50.86661";"43.55436";"49.47293";"27.72296";"48.2677";"7.073299";"54.7383";"27.60991"
"350.35";"50.53423";"27.66079";"50.0156";"7.000317";"55.82035";"27.73276";"51.48977";"43.54906";"50.53423";"27.66079";"50.0156";"7.000317";"55.82035";"27.73276"
"358.6917";"51.6266";"27.60329";"51.67111";"6.959343";"56.87291";"27.84123";"52.07869";"43.52424";"51.6266";"27.60329";"51.67111";"6.959343";"56.87291";"27.84123"
"367.0333";"52.63572";"27.55371";"53.29224";"6.922512";"57.89072";"27.97593";"52.67549";"43.52004";"52.63572";"27.55371";"53.29224";"6.922512";"57.89072";"27.97593"
"375.375";"53.64571";"27.50483";"54.88609";"6.93642";"58.87141";"28.11985";"53.25077";"43.48989";"53.64571";"27.50483";"54.88609";"6.93642";"58.87141";"28.11985"
"383.7167";"54.62934";"27.48302";"56.39964";"6.943249";"59.84066";"28.24757";"53.8018";"43.48661";"54.62934";"27.48302";"56.39964";"6.943249";"59.84066";"28.24757"
"392.0583";"55.5929";"27.46296";"57.90136";"6.983505";"60.76168";"28.38622";"54.33656";"43.45054";"55.5929";"27.46296";"57.90136";"6.983505";"60.76168";"28.38622"
"400.4";"56.51548";"27.45565";"59.34701";"7.028";"61.65953";"28.52274";"54.89071";"43.43446";"56.51548";"27.45565";"59.34701";"7.028";"61.65953";"28.52274"
"408.7417";"57.42253";"27.45079";"60.72298";"7.104748";"62.53004";"28.66398";"55.41985";"43.4184";"57.42253";"27.45079";"60.72298";"7.104748";"62.53004";"28.66398"
"417.0833";"58.28851";"27.45003";"62.03593";"7.176857";"63.35955";"28.79606";"55.92511";"43.40499";"58.28851";"27.45003";"62.03593";"7.176857";"63.35955";"28.79606"
"425.425";"59.11494";"27.44732";"63.26608";"7.245464";"64.16306";"28.91991";"56.46575";"43.37856";"59.11494";"27.44732";"63.26608";"7.245464";"64.16306";"28.91991"
"433.7667";"59.92052";"27.44585";"64.43324";"7.312263";"64.91489";"29.02438";"56.98355";"43.36187";"59.92052";"27.44585";"64.43324";"7.312263";"64.91489";"29.02438"
"442.1083";"60.69344";"27.44274";"65.52061";"7.386036";"65.65469";"29.11467";"57.48997";"43.31658";"60.69344";"27.44274";"65.52061";"7.386036";"65.65469";"29.11467"
"450.45";"61.41978";"27.4404";"66.52351";"7.426769";"66.36143";"29.19935";"57.98919";"43.2789";"61.41978";"27.4404";"66.52351";"7.426769";"66.36143";"29.19935"
"458.7917";"62.10082";"27.42912";"67.42249";"7.450855";"67.00488";"29.25139";"58.48719";"43.23175";"62.10082";"27.42912";"67.42249";"7.450855";"67.00488";"29.25139"
"467.1333";"62.76252";"27.39534";"68.26081";"7.465458";"67.62643";"29.28695";"58.99012";"43.18812";"62.76252";"27.39534";"68.26081";"7.465458";"67.62643";"29.28695"
"475.475";"63.36528";"27.36941";"68.99776";"7.464497";"68.21301";"29.28991";"59.48003";"43.15085";"63.36528";"27.36941";"68.99776";"7.464497";"68.21301";"29.28991"
"483.8167";"63.93682";"27.31449";"69.68124";"7.442097";"68.7634";"29.28215";"59.98792";"43.09709";"63.93682";"27.31449";"69.68124";"7.442097";"68.7634";"29.28215"
"492.1583";"64.4578";"27.26315";"70.2435";"7.419201";"69.27501";"29.26206";"60.45688";"43.02276";"64.4578";"27.26315";"70.2435";"7.419201";"69.27501";"29.26206"
"500.5";"64.97025";"27.21025";"70.7487";"7.362797";"69.7543";"29.19754";"60.92376";"42.97356";"64.97025";"27.21025";"70.7487";"7.362797";"69.7543";"29.19754"
"508.8417";"65.41915";"27.12675";"71.19399";"7.264961";"70.2116";"29.11628";"61.39965";"42.90712";"65.41915";"27.12675";"71.19399";"7.264961";"70.2116";"29.11628"
"517.1833";"65.85537";"27.04068";"71.57086";"7.169083";"70.60261";"29.01327";"61.8404";"42.82523";"65.85537";"27.04068";"71.57086";"7.169083";"70.60261";"29.01327"
"525.525";"66.24078";"26.94618";"71.90343";"7.037815";"70.98843";"28.90887";"62.26506";"42.74546";"66.24078";"26.94618";"71.90343";"7.037815";"70.98843";"28.90887"
"533.8666";"66.61305";"26.847";"72.17517";"6.909939";"71.32291";"28.77256";"62.68687";"42.63778";"66.61305";"26.847";"72.17517";"6.909939";"71.32291";"28.77256"
"542.2083";"66.96638";"26.72949";"72.42963";"6.765385";"71.64792";"28.63697";"63.09164";"42.54871";"66.96638";"26.72949";"72.42963";"6.765385";"71.64792";"28.63697"
"550.55";"67.30389";"26.60526";"72.6293";"6.596073";"71.95074";"28.46934";"63.46899";"42.43111";"67.30389";"26.60526";"72.6293";"6.596073";"71.95074";"28.46934"
