"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.9888458"
"17";"2.003035"
"25";"3.049486"
"33";"4.120642"
"42";"5.206137"
"50";"6.299032"
"58";"7.396221"
"67";"8.495474"
"75";"9.592548"
"83";"10.68177"
"92";"11.75838"
"100";"12.8199"
"108";"13.86651"
"117";"14.90118"
"125";"15.92857"
"133";"16.95319"
"142";"17.9778"
"150";"19.00243"
"158";"20.0242"
"167";"21.03906"
"175";"22.0444"
"184";"23.0391"
"192";"24.0211"
"200";"24.98677"
"209";"25.932"
"217";"26.85246"
"225";"27.74427"
"234";"28.60588"
"242";"29.43946"
"250";"30.25131"
"259";"31.04953"
"267";"31.83979"
"275";"32.62387"
"284";"33.40203"
"292";"34.17387"
"300";"34.93622"
"309";"35.68388"
"317";"36.41389"
"325";"37.12682"
"334";"37.82268"
"342";"38.49817"
"350";"39.15023"
"359";"39.78008"
"367";"40.39112"
"375";"40.98576"
"384";"41.56568"
"392";"42.13287"
"400";"42.68899"
"409";"43.23513"
"417";"43.77246"
"425";"44.30202"
"434";"44.82443"
"442";"45.34077"
"450";"45.85258"
"459";"46.36094"
"467";"46.86591"
"475";"47.36665"
"484";"47.86221"
"492";"48.35213"
"500";"48.83628"
"509";"49.31537"
"517";"49.79029"
"526";"50.26057"
"534";"50.72478"
"542";"51.1826"
"551";"51.6362"
