"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.1094055"
"17";"0.2278671"
"25";"0.3567543"
"33";"0.4905853"
"42";"0.6235619"
"50";"0.7545395"
"58";"0.8868332"
"67";"1.024708"
"75";"1.170185"
"83";"1.321514"
"92";"1.473995"
"100";"1.621758"
"108";"1.759094"
"117";"1.88147"
"125";"1.986179"
"133";"2.072319"
"142";"2.140762"
"150";"2.193974"
"158";"2.2351"
"167";"2.267445"
"175";"2.294903"
"184";"2.321384"
"192";"2.349476"
"200";"2.380413"
"209";"2.414162"
"217";"2.448887"
"225";"2.481583"
"234";"2.509609"
"242";"2.531174"
"250";"2.544827"
"259";"2.549614"
"267";"2.5457"
"275";"2.534042"
"284";"2.515518"
"292";"2.49065"
"300";"2.459888"
"309";"2.424194"
"317";"2.385101"
"325";"2.343681"
"334";"2.299694"
"342";"2.252472"
"350";"2.202492"
"359";"2.151367"
"367";"2.100372"
"375";"2.049892"
"384";"2.000141"
"392";"1.95129"
"400";"1.902512"
"409";"1.851814"
"417";"1.797329"
"425";"1.738453"
"434";"1.675934"
"442";"1.610905"
"450";"1.54351"
"459";"1.472771"
"467";"1.397755"
"475";"1.318108"
"484";"1.23333"
"492";"1.142719"
"500";"1.046417"
"509";"0.9463043"
