Tiempo_s;Angulo_Plataforma_deg
0.000;15.0030
0.010;15.7410
0.020;15.5880
0.030;14.9670
0.040;14.3820
0.050;14.2020
0.060;14.3550
0.070;14.3370
0.080;13.8510
0.090;12.9330
0.100;11.8890
0.110;10.9710
0.120;10.2420
0.130;9.6390
0.140;9.1080
0.150;8.6400
0.160;8.1990
0.170;7.8120
0.180;7.3890
0.190;6.8940
0.200;6.3540
0.210;5.8500
0.220;5.4540
0.230;5.1930
0.240;5.0310
0.250;4.8870
0.260;4.6980
0.270;4.4640
0.280;4.1760
0.290;3.8520
0.300;3.5190
0.310;3.2040
0.320;2.9340
0.330;2.7000
0.340;2.4570
0.350;2.1690
0.360;1.8270
0.370;1.4490
0.380;1.0800
0.390;0.7290
0.400;0.4140
0.410;0.0990
0.420;-0.2430
0.430;-0.5940
0.440;-0.9720
0.450;-1.3410
0.460;-1.7100
0.470;-2.0610
0.480;-2.4210
0.490;-2.7810
0.500;-3.1410
0.510;-3.5100
0.520;-3.8970
0.530;-4.2840
0.540;-4.6800
0.550;-5.0940
0.560;-5.5170
0.570;-5.9760
0.580;-6.4800
0.590;-7.0110
0.600;-7.5600
0.610;-8.1270
0.620;-8.7120
0.630;-9.3060
0.640;-9.9180
0.650;-10.5480
0.660;-11.2140
0.670;-11.9160
0.680;-12.6540
0.690;-13.4100
0.700;-14.1840
0.710;-14.9580
0.720;-15.7590
0.730;-16.6050
0.740;-17.4870
0.750;-18.4320
0.760;-19.4220
0.770;-20.4660
0.780;-21.5370
0.790;-22.6530
0.800;-23.8140
0.810;-25.0290
0.820;-26.2890
0.830;-27.5850
0.840;-28.9260
0.850;-30.3390
0.860;-31.8330
0.870;-33.3990
0.880;-35.0280
0.890;-36.6660
0.900;-38.2950
0.910;-39.9150
0.920;-41.4900
0.930;-43.0020
0.940;-44.4420
