Tiempo_s;Angulo_Plataforma_deg
0.000;-39.1410
0.010;-44.5590
0.020;-47.8080
0.030;-49.1310
0.040;-49.5720
0.050;-50.0940
0.060;-50.5530
0.070;-50.7600
0.080;-50.7330
0.090;-50.4810
0.100;-50.0400
0.110;-49.3740
0.120;-48.5280
0.130;-47.5110
0.140;-46.3230
0.150;-44.9640
0.160;-43.3710
0.170;-41.5980
0.180;-39.6540
0.190;-37.5210
0.200;-35.2440
0.210;-32.8770
0.220;-30.4470
0.230;-27.9630
0.240;-25.4430
0.250;-22.9050
0.260;-20.2680
0.270;-17.6040
0.280;-14.9490
0.290;-12.3120
0.300;-9.6750
0.310;-7.0920
0.320;-4.5450
0.330;-2.0430
0.340;0.3870
0.350;2.7450
0.360;5.0400
0.370;7.2450
0.380;9.3780
0.390;11.4120
0.400;13.3290
0.410;15.0930
0.420;16.6950
0.430;18.1260
0.440;19.3500
0.450;20.3760
0.460;21.1860
0.470;21.7710
0.480;22.1670
0.490;22.3560
0.500;22.3380
0.510;22.0950
0.520;21.6990
0.530;21.1680
