Tiempo_s;Posicion_cm
0.000;0.0000
0.010;0.5375
0.020;1.1125
0.030;1.7375
0.040;2.4000
0.050;3.1125
0.060;3.8625
0.070;4.6375
0.080;5.4125
0.090;6.1375
0.100;6.8250
0.110;7.4500
0.120;8.0500
0.130;8.5875
0.140;9.0875
0.150;9.5125
0.160;9.8750
0.170;10.1875
0.180;10.4750
0.190;10.7375
0.200;11.0000
0.210;11.2625
0.220;11.5000
0.230;11.7375
0.240;11.9625
0.250;12.1750
0.260;12.3625
0.270;12.5500
0.280;12.7375
0.290;12.9125
0.300;13.1125
0.310;13.3125
0.320;13.5125
0.330;13.7250
0.340;13.9375
0.350;14.1375
0.360;14.3375
0.370;14.5375
0.380;14.7375
0.390;14.9250
0.400;15.1125
0.410;15.2875
0.420;15.4625
0.430;15.6375
0.440;15.8250
0.450;16.0125
0.460;16.2125
0.470;16.4000
0.480;16.6125
0.490;16.8125
0.500;17.0250
0.510;17.2375
0.520;17.4500
0.530;17.6750
0.540;17.9000
0.550;18.1375
0.560;18.3750
0.570;18.6250
0.580;18.8875
0.590;19.1625
0.600;19.4500
0.610;19.7500
0.620;20.0750
0.630;20.4125
0.640;20.7625
0.650;21.1375
0.660;21.5125
0.670;21.9125
0.680;22.3125
0.690;22.7375
0.700;23.1750
0.710;23.6250
0.720;24.0875
0.730;24.5750
0.740;25.0750
0.750;25.6000
0.760;26.1375
0.770;26.7125
0.780;27.3125
0.790;27.9500
0.800;28.6125
0.810;29.3250
0.820;30.0875
0.830;30.9000
0.840;31.7625
0.850;32.6875
0.860;33.6750
0.870;34.7375
0.880;35.8625
0.890;37.0750
0.900;38.3625
0.910;39.7375
0.920;41.1875
0.930;42.7000
0.940;44.2750
