Tiempo_s;Posicion_cm
0.947;0.0000
0.957;1.1875
0.967;2.3750
0.977;3.5750
0.987;4.7750
0.997;5.9750
1.007;7.1750
1.017;8.3500
1.027;9.5125
1.037;10.6625
1.047;11.8000
1.057;12.9250
1.067;14.0375
1.077;15.1250
1.087;16.2125
1.097;17.3000
1.107;18.3625
1.117;19.4125
1.127;20.4375
1.137;21.4375
1.147;22.4000
1.157;23.3500
1.167;24.2625
1.177;25.1500
1.187;26.0125
1.197;26.8500
1.207;27.6750
1.217;28.4875
1.227;29.2750
1.237;30.0625
1.247;30.8125
1.257;31.5500
1.267;32.2625
1.277;32.9500
1.287;33.6125
1.297;34.2500
1.307;34.8625
1.317;35.4625
1.327;36.0375
1.337;36.6125
1.347;37.1750
1.357;37.7250
1.367;38.2750
1.377;38.8125
1.387;39.3625
1.397;39.9000
1.407;40.4375
1.417;40.9750
1.427;41.5125
1.437;42.0375
1.447;42.5625
1.457;43.0875
1.467;43.6000
1.477;44.1000
1.487;44.6000
