Tiempo_s;Posicion_cm
0.000;0.0000
0.010;-0.1688
0.020;-0.3125
0.030;-0.4125
0.040;-0.4500
0.050;-0.4375
0.060;-0.3875
0.070;-0.3375
0.080;-0.3063
0.090;-0.2938
0.100;-0.2938
0.110;-0.3063
0.120;-0.3125
0.130;-0.3250
0.140;-0.3313
0.150;-0.3375
0.160;-0.3438
0.170;-0.3500
0.180;-0.3500
0.190;-0.3500
0.200;-0.3500
0.210;-0.3500
0.220;-0.3563
0.230;-0.3625
0.240;-0.3688
0.250;-0.3750
0.260;-0.3875
0.270;-0.3938
0.280;-0.4062
0.290;-0.4125
0.300;-0.4250
0.310;-0.4375
0.320;-0.4500
0.330;-0.4625
0.340;-0.4750
0.350;-0.4813
0.360;-0.4938
0.370;-0.5000
0.380;-0.5062
0.390;-0.5125
0.400;-0.5125
0.410;-0.5125
0.420;-0.5125
0.430;-0.5125
0.440;-0.5188
0.450;-0.5250
0.460;-0.5312
0.470;-0.5312
0.480;-0.5375
0.490;-0.5500
0.500;-0.5563
0.510;-0.5687
0.520;-0.5750
0.530;-0.5875
0.540;-0.5938
0.550;-0.6000
0.560;-0.6063
0.570;-0.6125
0.580;-0.6188
0.590;-0.6313
0.600;-0.6438
0.610;-0.6562
0.620;-0.6750
0.630;-0.6938
0.640;-0.7063
0.650;-0.7250
0.660;-0.7375
0.670;-0.7438
0.680;-0.7563
0.690;-0.7625
0.700;-0.7688
0.710;-0.7750
0.720;-0.7812
0.730;-0.7812
0.740;-0.7812
0.750;-0.7750
0.760;-0.7688
0.770;-0.7625
0.780;-0.7500
0.790;-0.7375
0.800;-0.7188
0.810;-0.7000
0.820;-0.6813
0.830;-0.6562
0.840;-0.6375
0.850;-0.6125
0.860;-0.5875
0.870;-0.5687
0.880;-0.5438
0.890;-0.5188
0.900;-0.4875
0.910;-0.4500
0.920;-0.3938
0.930;-0.3250
0.940;-0.2500
