Tiempo_s;Posicion_cm
0.946;0.0000
0.956;0.1313
0.966;0.2625
0.976;0.3813
0.986;0.5062
0.996;0.6375
1.006;0.7750
1.016;0.9250
1.026;1.0813
1.036;1.2313
1.046;1.3750
1.056;1.5063
1.066;1.6188
1.076;1.7188
1.086;1.8000
1.096;1.8625
1.106;1.9125
1.116;1.9563
1.126;1.9938
1.136;2.0312
1.146;2.0562
1.156;2.0875
1.166;2.1063
1.176;2.1187
1.186;2.1250
1.196;2.1250
1.206;2.1187
1.216;2.1125
1.226;2.1000
1.236;2.0875
1.246;2.0688
1.256;2.0500
1.266;2.0250
1.276;2.0000
1.286;1.9688
1.296;1.9313
1.306;1.8938
1.316;1.8563
1.326;1.8125
1.336;1.7688
1.346;1.7188
1.356;1.6688
1.366;1.6188
1.376;1.5688
1.386;1.5063
1.396;1.4438
1.406;1.3750
1.416;1.3000
1.426;1.2188
1.436;1.1313
1.446;1.0312
1.456;0.9250
1.466;0.8063
1.476;0.6875
1.486;0.5563
1.496;0.4250
