Time;Angle 1.o/0/X;Angle 1.o/0/Y;Angle 1.a/0/X;Angle 1.a/0/Y;Angle 1.b/0/X;Angle 1.b/0/Y;Angle 1/o/X;Angle 1/o/Y;Angle 1/a/X;Angle 1/a/Y;Angle 1/b/X;Angle 1/b/Y
-8.341666;-267.5132;-92.76025;38.70679;-294.4807;-131.8198;-40.77045;-267.5132;-92.76025;38.70679;-294.4807;-131.8198;-40.77045
0;-267.9885;-93.00592;39.15094;-294.1059;-132.045;-41.01154;-267.9885;-93.00592;39.15094;-294.1059;-132.045;-41.01154
8.341666;-267.9895;-93.00226;39.18219;-294.0569;-131.9793;-41.03375;-267.9895;-93.00226;39.18219;-294.0569;-131.9793;-41.03375
16.68333;-267.9467;-93.22455;38.94556;-294.0819;-131.8292;-41.05615;-267.9467;-93.22455;38.94556;-294.0819;-131.8292;-41.05615
25.025;-267.9482;-93.22839;38.94598;-294.0747;-131.7927;-41.06622;-267.9482;-93.22839;38.94598;-294.0747;-131.7927;-41.06622
33.36666;-267.9433;-93.22998;38.97449;-294.1061;-131.6375;-41.09796;-267.9433;-93.22998;38.97449;-294.1061;-131.6375;-41.09796
41.70833;-267.9142;-93.46967;39.04889;-294.1155;-131.5724;-41.12927;-267.9142;-93.46967;39.04889;-294.1155;-131.5724;-41.12927
50.05;-267.8615;-93.39801;39.07458;-294.0341;-131.4116;-41.06921;-267.8615;-93.39801;39.07458;-294.0341;-131.4116;-41.06921
58.39167;-267.8671;-93.49023;39.10187;-293.9403;-131.3732;-41.08984;-267.8671;-93.49023;39.10187;-293.9403;-131.3732;-41.08984
66.73333;-267.8566;-93.76563;39.1687;-294.0153;-131.287;-41.16064;-267.8566;-93.76563;39.1687;-294.0153;-131.287;-41.16064
75.075;-267.8456;-93.77344;38.82983;-294.1658;-131.1606;-41.19507;-267.8456;-93.77344;38.82983;-294.1658;-131.1606;-41.19507
83.41666;-267.8138;-93.92926;38.98749;-293.9027;-131.0489;-41.22797;-267.8138;-93.92926;38.98749;-293.9027;-131.0489;-41.22797
91.75833;-267.811;-93.93256;38.94196;-293.9162;-130.9259;-41.29974;-267.811;-93.93256;38.94196;-293.9162;-130.9259;-41.29974
100.1;-267.8619;-94.2052;39.11969;-293.9873;-130.8692;-41.3205;-267.8619;-94.2052;39.11969;-293.9873;-130.8692;-41.3205
108.4417;-267.9427;-94.20105;39.01282;-294.0756;-130.8273;-41.34668;-267.9427;-94.20105;39.01282;-294.0756;-130.8273;-41.34668
116.7833;-267.9063;-94.23163;38.95801;-293.998;-130.7073;-41.3764;-267.9063;-94.23163;38.95801;-293.998;-130.7073;-41.3764
125.125;-267.8791;-94.29315;39.03741;-294.0276;-130.5638;-41.44257;-267.8791;-94.29315;39.03741;-294.0276;-130.5638;-41.44257
133.4667;-268.1422;-94.59094;39.10498;-294.0289;-130.4485;-41.30328;-268.1422;-94.59094;39.10498;-294.0289;-130.4485;-41.30328
141.8083;-268.1597;-94.56421;39.04144;-294.0067;-130.889;-41.54657;-268.1597;-94.56421;39.04144;-294.0067;-130.889;-41.54657
150.15;-268.176;-94.63751;38.92456;-294.0286;-130.7716;-41.59058;-268.176;-94.63751;38.92456;-294.0286;-130.7716;-41.59058
158.4917;-268.1631;-94.6665;38.93152;-294.0467;-130.7438;-41.6192;-268.1631;-94.6665;38.93152;-294.0467;-130.7438;-41.6192
166.8333;-268.1636;-94.91199;38.87042;-293.9533;-130.5604;-41.68872;-268.1636;-94.91199;38.87042;-293.9533;-130.5604;-41.68872
175.175;-268.2183;-94.9278;38.7486;-294.0062;-130.5058;-41.69159;-268.2183;-94.9278;38.7486;-294.0062;-130.5058;-41.69159
183.5167;-268.1145;-96.35797;38.8222;-293.9086;-130.3749;-41.6062;-268.1145;-96.35797;38.8222;-293.9086;-130.3749;-41.6062
191.8583;-267.9541;-96.04639;38.88904;-294.115;-130.3697;-41.61951;-267.9541;-96.04639;38.88904;-294.115;-130.3697;-41.61951
200.2;-267.9401;-96.15271;38.80804;-293.9359;-130.3102;-41.65802;-267.9401;-96.15271;38.80804;-293.9359;-130.3102;-41.65802
208.5417;-267.2976;-96.80902;38.82013;-293.9274;-130.1782;-41.70441;-267.2976;-96.80902;38.82013;-293.9274;-130.1782;-41.70441
216.8833;-266.9521;-97.10297;38.81268;-293.9473;-130.0808;-41.71185;-266.9521;-97.10297;38.81268;-293.9473;-130.0808;-41.71185
225.225;-266.9323;-97.20886;39.11993;-293.9863;-130.0425;-41.75629;-266.9323;-97.20886;39.11993;-293.9863;-130.0425;-41.75629
233.5667;-266.8293;-97.1803;38.82275;-293.9295;-129.9407;-41.78937;-266.8293;-97.1803;38.82275;-293.9295;-129.9407;-41.78937
241.9083;-266.8287;-97.22461;38.70807;-293.89;-129.884;-41.81232;-266.8287;-97.22461;38.70807;-293.89;-129.884;-41.81232
250.25;-266.802;-97.17584;39.08331;-294.0153;-129.6341;-41.86505;-266.802;-97.17584;39.08331;-294.0153;-129.6341;-41.86505
258.5917;-266.8138;-97.2865;39.22711;-294.0334;-129.5787;-41.87695;-266.8138;-97.2865;39.22711;-294.0334;-129.5787;-41.87695
266.9333;-266.7219;-97.33875;38.39429;-293.9424;-129.5179;-41.88306;-266.7219;-97.33875;38.39429;-293.9424;-129.5179;-41.88306
275.275;-266.7045;-95.79016;37.98218;-294.0012;-129.4616;-41.8205;-266.7045;-95.79016;37.98218;-294.0012;-129.4616;-41.8205
283.6167;-266.9258;-96.0437;38.0058;-293.9254;-129.2962;-41.86652;-266.9258;-96.0437;38.0058;-293.9254;-129.2962;-41.86652
291.9583;-266.9203;-96.02887;38.00537;-293.9393;-129.239;-41.90131;-266.9203;-96.02887;38.00537;-293.9393;-129.239;-41.90131
300.3;-266.9;-96.07281;37.99329;-293.9567;-129.0827;-41.92749;-266.9;-96.07281;37.99329;-293.9567;-129.0827;-41.92749
308.6417;-266.8766;-96.05444;38.15259;-293.9896;-129.0404;-41.96326;-266.8766;-96.05444;38.15259;-293.9896;-129.0404;-41.96326
316.9833;-266.8521;-96.06537;38.04517;-293.9741;-128.9739;-42.0097;-266.8521;-96.06537;38.04517;-293.9741;-128.9739;-42.0097
325.325;-266.8243;-96.07294;37.94598;-294.0295;-128.9297;-42.04523;-266.8243;-96.07294;37.94598;-294.0295;-128.9297;-42.04523
333.6667;-266.8268;-96.10632;38.01312;-293.9886;-128.7456;-42.10101;-266.8268;-96.10632;38.01312;-293.9886;-128.7456;-42.10101
342.0083;-266.8135;-96.14392;38.00214;-293.9801;-128.6702;-42.14929;-266.8135;-96.14392;38.00214;-293.9801;-128.6702;-42.14929
350.35;-266.7678;-96.16925;38.28461;-293.892;-128.5822;-42.21631;-266.7678;-96.16925;38.28461;-293.892;-128.5822;-42.21631
358.6917;-266.5071;-96.18909;38.01172;-293.9362;-128.2626;-42.14166;-266.5071;-96.18909;38.01172;-293.9362;-128.2626;-42.14166
367.0333;-266.0033;-96.04401;38.31677;-293.7961;-127.7654;-42.16547;-266.0033;-96.04401;38.31677;-293.7961;-127.7654;-42.16547
375.375;-265.9742;-96.23279;38.2771;-293.8636;-127.6836;-42.36115;-265.9742;-96.23279;38.2771;-293.8636;-127.6836;-42.36115
383.7167;-266.1555;-96.35785;38.16089;-294.157;-128.0407;-42.60205;-266.1555;-96.35785;38.16089;-294.157;-128.0407;-42.60205
392.0583;-266.4326;-96.36182;37.67993;-293.8311;-128.2134;-42.63068;-266.4326;-96.36182;37.67993;-293.8311;-128.2134;-42.63068
400.4;-266.6321;-96.44806;37.44916;-293.5909;-128.4117;-42.54865;-266.6321;-96.44806;37.44916;-293.5909;-128.4117;-42.54865
408.7417;-266.4602;-96.16681;37.45416;-293.6514;-128.1169;-42.56866;-266.4602;-96.16681;37.45416;-293.6514;-128.1169;-42.56866
417.0833;-266.1353;-96.16083;37.92426;-293.529;-127.8151;-42.56012;-266.1353;-96.16083;37.92426;-293.529;-127.8151;-42.56012
425.425;-266.4346;-96.11011;37.53198;-294.2178;-128.0521;-42.53943;-266.4346;-96.11011;37.53198;-294.2178;-128.0521;-42.53943
433.7667;-266.7786;-96.29578;37.23248;-293.9232;-128.2382;-42.5791;-266.7786;-96.29578;37.23248;-293.9232;-128.2382;-42.5791
442.1083;-266.6741;-96.43457;37.2489;-293.9139;-128.0353;-42.75806;-266.6741;-96.43457;37.2489;-293.9139;-128.0353;-42.75806
450.45;-266.7067;-96.15332;37.27087;-293.9131;-127.5925;-42.78839;-266.7067;-96.15332;37.27087;-293.9131;-127.5925;-42.78839
458.7917;-266.4238;-95.99402;37.79041;-294.1131;-127.2712;-42.72504;-266.4238;-95.99402;37.79041;-294.1131;-127.2712;-42.72504
467.1333;-266.2462;-96.04266;37.97864;-294.0199;-127.1073;-42.73022;-266.2462;-96.04266;37.97864;-294.0199;-127.1073;-42.73022
475.475;-266.496;-96.09766;37.86639;-294.1575;-127.2029;-42.77533;-266.496;-96.09766;37.86639;-294.1575;-127.2029;-42.77533
483.8167;-266.5812;-96.09497;37.85736;-293.9402;-127.2078;-42.81586;-266.5812;-96.09497;37.85736;-293.9402;-127.2078;-42.81586
492.1583;-266.4839;-96.07013;37.53601;-294.0463;-127.1208;-42.83777;-266.4839;-96.07013;37.53601;-294.0463;-127.1208;-42.83777
500.5;-266.3225;-96.06702;38.13177;-293.9716;-126.9307;-42.85632;-266.3225;-96.06702;38.13177;-293.9716;-126.9307;-42.85632
508.8417;-266.3823;-96.09412;37.96643;-294.0069;-126.9129;-42.87512;-266.3823;-96.09412;37.96643;-294.0069;-126.9129;-42.87512
517.1833;-266.5719;-96.1665;37.74054;-294.103;-126.9469;-42.99316;-266.5719;-96.1665;37.74054;-294.103;-126.9469;-42.99316
525.525;-266.6179;-96.24286;37.9679;-294.0894;-126.9532;-43.03143;-266.6179;-96.24286;37.9679;-294.0894;-126.9532;-43.03143
533.8666;-266.5626;-96.23212;37.97388;-293.9673;-126.864;-43.05688;-266.5626;-96.23212;37.97388;-293.9673;-126.864;-43.05688
542.2083;-266.3169;-96.22449;38.01245;-294.0215;-126.5722;-43.09204;-266.3169;-96.22449;38.01245;-294.0215;-126.5722;-43.09204
550.55;-266.3538;-96.14197;37.8598;-294.0531;-126.5891;-43.11572;-266.3538;-96.14197;37.8598;-294.0531;-126.5891;-43.11572
558.8917;-266.4723;-96.19861;37.78723;-294.0761;-126.5693;-43.19464;-266.4723;-96.19861;37.78723;-294.0761;-126.5693;-43.19464
567.2333;-266.5868;-96.25317;37.85632;-294.1933;-126.5551;-43.27374;-266.5868;-96.25317;37.85632;-294.1933;-126.5551;-43.27374
575.575;-264.783;-96.13507;37.85431;-294.1145;-126.4088;-43.17413;-264.783;-96.13507;37.85431;-294.1145;-126.4088;-43.17413
583.9167;-264.8828;-95.91077;37.83789;-294.1193;-125.7363;-43.03864;-264.8828;-95.91077;37.83789;-294.1193;-125.7363;-43.03864
592.2584;-264.8096;-95.99548;37.98596;-293.989;-125.7112;-43.05328;-264.8096;-95.99548;37.98596;-293.989;-125.7112;-43.05328
