"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"-286.4326";"-70.67139";"-85.34814";"-302.0001";"-146.2457";"-16.72192";"-286.4326";"-70.67139";"-85.34814";"-302.0001";"-146.2457";"-16.72192"
"8.341666";"-285.9598";"-71.04706";"-85.34814";"-302.0001";"-145.9771";"-16.99872";"-285.9598";"-71.04706";"-85.34814";"-302.0001";"-145.9771";"-16.99872"
"16.68333";"-285.9181";"-71.08557";"-85.34814";"-302.0001";"-145.9178";"-17.005";"-285.9181";"-71.08557";"-85.34814";"-302.0001";"-145.9178";"-17.005"
"25.025";"-285.8887";"-71.10461";"-85.34814";"-302.0001";"-145.7736";"-17.01013";"-285.8887";"-71.10461";"-85.34814";"-302.0001";"-145.7736";"-17.01013"
"33.36666";"-285.8445";"-71.14514";"-85.34814";"-302.0001";"-145.7582";"-17.02606";"-285.8445";"-71.14514";"-85.34814";"-302.0001";"-145.7582";"-17.02606"
"41.70833";"-285.8151";"-71.24884";"-85.34814";"-302.0001";"-145.6584";"-17.03064";"-285.8151";"-71.24884";"-85.34814";"-302.0001";"-145.6584";"-17.03064"
"50.05";"-285.7739";"-71.2641";"-85.34814";"-302.0001";"-145.602";"-17.0462";"-285.7739";"-71.2641";"-85.34814";"-302.0001";"-145.602";"-17.0462"
"58.39167";"-285.7659";"-71.42712";"-85.34814";"-302.0001";"-145.4568";"-17.01807";"-285.7659";"-71.42712";"-85.34814";"-302.0001";"-145.4568";"-17.01807"
"66.73333";"-285.7531";"-71.46234";"-85.34814";"-302.0001";"-145.4402";"-17.01917";"-285.7531";"-71.46234";"-85.34814";"-302.0001";"-145.4402";"-17.01917"
"75.075";"-285.8247";"-71.75098";"-85.34814";"-302.0001";"-145.2657";"-17.01013";"-285.8247";"-71.75098";"-85.34814";"-302.0001";"-145.2657";"-17.01013"
"83.41666";"-285.8231";"-71.8562";"-85.34814";"-302.0001";"-145.239";"-17.0282";"-285.8231";"-71.8562";"-85.34814";"-302.0001";"-145.239";"-17.0282"
"91.75833";"-285.8399";"-71.90277";"-85.34814";"-302.0001";"-145.1448";"-17.02814";"-285.8399";"-71.90277";"-85.34814";"-302.0001";"-145.1448";"-17.02814"
