"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"-10.93837";"64.66056";"16.98932";"0.5422249";"11.0744";"45.83266";"-10.93837";"64.66056";"16.98932";"0.5422249";"11.0744";"45.83266"
"8.341666";"-10.96131";"64.72164";"16.94674";"0.5226479";"11.14344";"45.92999";"-10.96131";"64.72164";"16.94674";"0.5226479";"11.14344";"45.92999"
"16.68333";"-10.92077";"64.73587";"17.61936";"0.5198631";"11.17719";"45.93003";"-10.92077";"64.73587";"17.61936";"0.5198631";"11.17719";"45.93003"
"25.025";"-10.86723";"64.75052";"17.72758";"0.5567207";"11.19615";"45.93007";"-10.86723";"64.75052";"17.72758";"0.5567207";"11.19615";"45.93007"
"33.36666";"-10.8239";"64.76981";"17.7961";"0.5583534";"11.24677";"45.91953";"-10.8239";"64.76981";"17.7961";"0.5583534";"11.24677";"45.91953"
"41.70833";"-10.7807";"64.79486";"17.79345";"0.5223465";"11.26194";"45.92262";"-10.7807";"64.79486";"17.79345";"0.5223465";"11.26194";"45.92262"
"50.05";"-10.76011";"64.81518";"17.64223";"0.5401382";"11.29259";"45.92226";"-10.76011";"64.81518";"17.64223";"0.5401382";"11.29259";"45.92226"
"58.39167";"-10.70724";"64.83767";"18.03611";"0.53265";"11.31146";"45.92474";"-10.70724";"64.83767";"18.03611";"0.53265";"11.31146";"45.92474"
"66.73333";"-10.66254";"64.83916";"17.74";"0.5313492";"11.35218";"45.92557";"-10.66254";"64.83916";"17.74";"0.5313492";"11.35218";"45.92557"
"75.075";"-10.63465";"64.86405";"17.63561";"0.5687408";"11.3668";"45.92416";"-10.63465";"64.86405";"17.63561";"0.5687408";"11.3668";"45.92416"
"83.41666";"-10.5878";"64.8751";"17.66372";"0.374073";"11.41635";"45.91635";"-10.5878";"64.8751";"17.66372";"0.374073";"11.41635";"45.91635"
"91.75833";"-10.54583";"64.88586";"17.84715";"0.401268";"11.43317";"45.91444";"-10.54583";"64.88586";"17.84715";"0.401268";"11.43317";"45.91444"
"100.1";"-10.49393";"64.88594";"17.63973";"0.3417664";"11.46133";"45.91458";"-10.49393";"64.88594";"17.63973";"0.3417664";"11.46133";"45.91458"
"108.4417";"-10.45084";"64.91573";"17.6874";"0.3661804";"11.48459";"45.91817";"-10.45084";"64.91573";"17.6874";"0.3661804";"11.48459";"45.91817"
