frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm,Force_Fx1_N_Nm,Force_Fy1_N_Nm,Force_Fz1_N_Nm,Moment_Mx1_N_Nm,Moment_My1_N_Nm,Moment_Mz1_N_Nm,Force_Fx2_N_Nm,Force_Fy2_N_Nm,Force_Fz2_N_Nm,Moment_Mx2_N_Nm,Moment_My2_N_Nm,Moment_Mz2_N_Nm,Force_Fx3_N_Nm,Force_Fy3_N_Nm,Force_Fz3_N_Nm,Moment_Mx3_N_Nm,Moment_My3_N_Nm,Moment_Mz3_N_Nm,Force_Fx4_N_Nm,Force_Fy4_N_Nm,Force_Fz4_N_Nm,Moment_Mx4_N_Nm,Moment_My4_N_Nm,Moment_Mz4_N_Nm,Force_Fx5_N_Nm,Force_Fy5_N_Nm,Force_Fz5_N_Nm,Moment_Mx5_N_Nm,Moment_My5_N_Nm,Moment_Mz5_N_Nm
305,3.05,-2194.6028,879.5044,-1991.76,469.96,-2000.5193,0.7099048,2.4289742371010092e-21,3.432665569531987e-21,-4.1916906759033864e-20,-3.4288697931204633e-18,5.223268761653958e-19,-1.6493513798767337e-19,1.2093250459734895e-13,1.3097191466261573e-15,-2.166920939558614e-12,-1.4923638574915188e-10,1.5613531301195138e-11,-6.522139902806478e-12,-2.377410578727722,1.0488948345184326,-2.3571627378463744,107.21746368408203,56.807369995117185,432.22450866699216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,3.06,-2179.3062,882.2363,-1981.28,470.106,-2000.9175,0.8359044,5.247593295189025e-21,2.9753848596142577e-21,-4.3289905729954273e-20,-3.585713721774782e-18,1.802360613756384e-19,-4.232315796994898e-19,1.821340035170968e-13,1.0830129483919548e-13,-3.375381679888989e-12,-2.1464340860255504e-10,2.438462209930492e-11,-8.476006962271353e-12,-2.3622061252593993,1.0842852950096131,-2.340765690803528,102.65267791748047,59.85798645019531,432.1771942138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,3.07,-2163.4878,885.1068,-1976.67,467.919,-2001.6897,0.6046715,9.109823773460029e-21,1.1702131673608824e-21,-3.262585369103586e-20,-2.7862140259968356e-18,-5.401796800966411e-19,-7.949205945128537e-19,2.449937225746518e-13,2.829004418962791e-13,-4.684639004839952e-12,-2.7566477434071144e-10,3.3922454775736634e-11,-9.663153263672619e-12,-2.359522223472595,1.121102225780487,-2.347394847869873,97.72774353027344,60.81323432922363,435.8002960205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,3.08,-2147.1523,888.63293,-1967.96,466.681,-2007.2592,-0.5150586,1.3810958816607614e-20,-2.698822302757597e-21,-1.850337265787354e-21,-3.7414965289221498e-19,-1.7740497309286246e-18,-1.272530518448515e-18,2.917165180206169e-13,5.351311001310435e-13,-5.786576816671496e-12,-3.0936818939952813e-10,4.201303957507285e-11,-8.994437573212055e-12,-2.366273379325867,1.1550974249839783,-2.3714458465576174,93.7730697631836,60.026210403442384,442.22130126953124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,3.09,-2131.3518,891.9884,-1964.74,463.838,-1941.9082,-1.1456363,1.8694749071497546e-20,-9.387682828894219e-21,5.853644449680398e-20,4.429297760144557e-18,-3.6258816329998716e-18,-1.80891638636447e-18,2.9268480000732564e-13,8.605669399742305e-13,-6.146176276256021e-12,-2.7959485560113963e-10,4.479890000630427e-11,-4.924525685238296e-12,-2.3801111936569215,1.182783019542694,-2.414024496078491,91.0318588256836,58.614079284667966,450.23943481445315,0.0,0.0,0.0,0.0,0.0,0.0,-2.8025969286496343e-46,0.0,0.0,0.0,0.0,0.0
310,3.1,-2122.5815,892.8808,-1958.97,468.636,-1998.8784,0.6653548,2.2429418807738464e-20,-1.949722703365593e-20,1.5787895196670706e-19,1.2401367939001523e-17,-6.1084783534146285e-18,-2.2943433997333046e-18,2.0442398045595473e-13,1.2280585077496797e-12,-4.952176299241606e-12,-1.3561453505311906e-10,3.6416205641265355e-11,4.502652757750175e-12,-2.40143027305603,1.2037834644317627,-2.470353531837463,90.2057991027832,56.51953201293945,459.1226287841797,0.0,0.0,0.0,0.0,0.0,0.0,-1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0
311,3.11,-2108.5227,895.6416,-1952.03,467.639,-2003.4752,0.18880458,2.278037134680554e-20,-3.314179354250775e-20,3.023417413787338e-19,2.4076853623060608e-17,-9.05245733231883e-18,-2.5312189758470524e-18,-3.008409819850943e-14,1.5641095081446455e-12,-1.1062545167027024e-12,1.8600052730660678e-10,8.907484282507164e-12,2.1439056693134395e-11,-2.4298147201538085,1.218547511100769,-2.527305841445923,91.6720474243164,53.342977905273436,468.5454559326172,0.0,0.0,0.0,0.0,0.0,0.0,-1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0
313,3.13,-2082.926,900.32666,-1934.82,467.966,-2005.7673,0.5599719,-9.297262193445174e-22,-6.59304358934179e-20,7.03856037892586e-19,5.692857318734297e-17,-1.3997581923921733e-17,-9.103968653042256e-19,-1.19774034982624e-12,1.5342509814691984e-12,1.9834418222425266e-11,1.6253051793313488e-09,-1.4198873465876005e-10,8.419514044288867e-11,-2.5075631141662598,1.2249684810638428,-2.61070921421051,96.45148620605468,44.82498283386231,486.3694213867187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,3.14,-2060.5142,904.47485,-1931.73,465.404,-2007.2861,0.8375221,-3.4416659650652243e-20,-7.764754103558074e-20,9.027203022248976e-19,7.355305822514834e-17,-1.3595369404252825e-17,1.899939677011929e-18,-2.2304588297855645e-12,6.704638666832157e-13,3.923579516840192e-11,2.818592492737082e-09,-2.8229379528399433e-10,1.2909194338495133e-10,-2.556060862541199,1.2174961566925049,-2.637017321586609,96.42319259643554,40.906860733032225,493.7340423583984,0.0,0.0,0.0,0.0,0.0,0.0,5.6051938572992686e-46,0.0,0.0,0.0,0.0,0.0
315,3.15,-2057.6755,905.93414,-1927.77,468.361,-2003.4352,1.4531543,-8.890376634358833e-20,-7.650716334748614e-20,1.011218093505269e-18,8.321196153463532e-17,-8.626424575268293e-18,6.777101966944256e-18,-3.550754482106733e-12,-1.2149314757362029e-12,6.486125178617463e-11,4.269841191728574e-09,-4.68055486035901e-10,1.7659721462948142e-10,-2.608178424835205,1.2077304363250732,-2.6486443519592284,94.01852874755859,38.21731071472168,501.1272918701172,0.0,0.0,0.0,0.0,0.0,0.0,2.2420775429197074e-45,-7.006492321624085e-46,7.006492321624085e-46,0.0,-1.7516230804060213e-43,-1.7516230804060213e-43
