frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
270,2.7,-2456.2283,838.7027,-2258.23,459.776,-2250.8103,18.534868
293,2.93,-2154.2869,830.1539,-1983.37,435.439,-1939.7852,5.2704086
294,2.94,-2143.15,831.764,-1973.6,438.2,-1952.2535,6.468854
299,2.99,-2084.2275,840.2012,-1935.11,440.646,-1950.2401,9.808584
301,3.01,-2064.8813,842.18317,-1921.41,439.86,-1953.4851,10.961661
302,3.02,-2050.9736,846.3195,-1920.28,439.714,-1953.1531,10.758315
304,3.04,-2031.986,850.5602,-1913.83,440.049,-1953.6586,10.856594
305,3.05,-2019.6101,853.62225,-1911.58,440.358,-1954.7545,11.302486
306,3.06,-2011.4114,855.20685,-1908.78,440.711,-1955.1252,11.772569
307,3.07,-2000.885,857.34534,-1906.85,441.136,-1954.845,11.826208
308,3.08,-1988.8402,859.60657,-1905.94,441.645,-1954.4043,12.568998
310,3.1,-1971.3269,861.77136,-1900.1,441.66,-1956.208,12.785684
311,3.11,-1961.546,863.04877,-1898.14,441.992,-1956.4758,13.003442
312,3.12,-1950.2126,865.05975,-1896.97,442.842,-1956.838,13.160999
315,3.15,-1922.5079,865.3992,-1888.32,441.721,-1956.2102,13.822555
316,3.16,-1911.6589,866.4755,-1884.1,442.303,-1956.4669,13.828805
317,3.17,-1898.3787,867.32983,-1884.86,442.481,-1956.7303,13.810845
318,3.18,-1891.6837,866.777,-1880.78,442.132,-1957.1193,14.098661
319,3.19,-1877.8892,866.93585,-1876.86,442.269,-1957.9148,14.978023
320,3.2,-1872.0532,866.1826,-1872.75,441.959,-1956.8439,14.512243
321,3.21,-1857.6971,866.0886,-1869.78,442.016,-1957.6548,15.107004
322,3.22,-1848.0483,865.0091,-1866.22,441.474,-1958.2646,15.62808
323,3.23,-1835.3873,864.4712,-1862.82,441.688,-1956.7155,15.4486265
324,3.24,-1824.1179,863.68774,-1857.85,441.511,-1957.5271,16.111225
325,3.25,-1814.9773,862.4115,-1852.22,440.118,-1956.5868,15.388357
326,3.26,-1800.4626,861.6165,-1848.46,440.339,-1956.2734,15.743889
327,3.27,-1788.4438,859.964,-1841.59,439.453,-1960.1262,18.403774
328,3.28,-1778.4988,858.5199,-1836.37,438.86,-1956.8195,17.32535
329,3.29,-1766.1882,856.7313,-1829.43,438.267,-1956.4896,18.629333
330,3.3,-1754.0896,854.88776,-1822.25,437.2,-1954.8158,18.72324
331,3.31,-1742.1042,852.55927,-1813.93,435.711,-1955.2983,20.067022
332,3.32,-1729.7344,850.42957,-1804.95,433.98,-1954.315,20.74373
333,3.33,-1715.7993,848.37384,-1795.97,433.14,-1956.9734,23.931068
334,3.34,-1706.0356,845.96924,-1786.86,431.023,-1954.3755,24.454233
335,3.35,-1693.8501,843.89276,-1777.26,429.816,-1954.0256,27.060242
336,3.36,-1681.3506,842.1144,-1767.09,428.616,-1954.0574,29.983227
