frame,t_s,cadera_x_cm,cadera_y_cm,rodilla_x_cm,rodilla_y_cm,tobillo_x_cm,tobillo_y_cm
1,0,44.94,78.58,41,47.4,9.31,21.44
2,0.014,47.31,78.58,45.02,46.89,12.7,22.46
3,0.029,49.57,78.71,48.68,47.27,16.49,23.73
4,0.043,51.74,79.21,52.5,47.53,20.81,24.37
5,0.057,53.33,79.09,56.13,47.91,24.96,24.24
6,0.072,55.41,79.98,59.87,48.67,29.33,24.62
7,0.086,56.73,80.49,63.34,49.44,33.57,23.73
8,0.1,58.89,81,66.9,50.84,38.78,23.22
9,0.114,60.79,81.12,69.96,51.09,43.11,22.21
10,0.129,62.78,82.01,73.22,51.73,48.15,21.06
11,0.143,64.69,82.4,76.27,53,53.23,20.04
12,0.157,66.67,82.78,79.01,53.51,58.27,18.52
13,0.172,68.65,82.65,81.62,54.15,63.68,16.86
14,0.186,70.88,83.16,83.99,54.53,69.22,15.59
15,0.2,73.19,82.9,86.56,54.78,74.72,14.44
16,0.215,74.89,83.03,88.51,54.91,80.36,13.43
17,0.229,76.95,82.9,90.57,54.91,85.86,12.66
18,0.243,79.19,82.65,93.06,54.65,91.54,12.03
19,0.257,81.2,82.4,94.56,54.02,96.85,11.64
20,0.272,83.12,82.14,96.1,54.02,101.45,11.77
21,0.286,85.69,81.5,98.16,53.25,106.56,11.77
22,0.3,87.77,80.49,99.73,51.86,110.68,11.52
23,0.315,89.91,80.61,101.36,51.73,114.85,12.15
24,0.329,92.25,80.49,103.57,51.09,118.33,12.15
25,0.343,94.41,80.1,105.23,50.96,120.75,12.28
26,0.357,97.03,79.72,107.59,50.84,122.99,12.03
27,0.372,99.37,79.98,109.93,50.58,124.31,11.9
28,0.386,101.53,79.34,112.34,50.46,124.94,10.63
29,0.4,104.45,79.6,114.89,50.33,125.83,9.61
30,0.415,106.78,79.6,116.96,50.46,127.02,9.74
31,0.429,108.86,79.6,118.53,50.33,127.82,9.48
32,0.443,111.28,80.1,120.44,50.58,128.33,9.61
33,0.458,113.8,80.49,122.84,50.96,129.07,9.35
34,0.472,115.58,81.38,125.25,51.86,129.45,9.61
35,0.486,117.36,81.89,127.54,51.86,129.83,9.74
36,0.5,118.78,81.63,128.32,51.86,129.46,9.1
37,0.515,120.96,81.63,129.87,51.86,129.74,9.35
38,0.529,123.1,82.27,130.86,51.6,130.1,9.23
39,0.543,124.93,83.03,132.18,52.36,130.53,9.61
40,0.558,126.94,82.78,133.04,51.35,130.37,9.35
41,0.572,128.61,83.03,133.58,51.73,130.27,9.61
42,0.586,130.24,83.03,134.31,51.35,129.98,8.97
43,0.601,132.04,82.9,134.72,50.96,130.39,9.61
44,0.615,133.03,83.41,135.7,52.62,130.23,9.61
45,0.629,134.86,83.54,136.26,51.86,129.89,9.48
46,0.643,136.2,83.8,137.09,51.86,130.22,10.24
47,0.658,138.08,82.9,137.95,51.47,130.06,9.99
48,0.672,139.38,82.9,138.74,51.6,130.47,10.12
49,0.686,140.67,82.78,139.15,51.09,130.49,9.99
50,0.701,142.02,82.65,140.11,51.09,130.56,9.99
51,0.715,143.85,82.01,140.92,50.58,130.49,10.24
52,0.729,146.04,82.4,142.22,50.84,131.27,10.24
53,0.744,147.51,81.63,143.05,50.58,130.96,10.12
54,0.758,148.9,81.5,143.69,50.71,131.47,10.63
55,0.772,150.5,81.12,144.27,50.46,131.03,10.63
56,0.786,152.46,81,145.59,50.71,131.34,10.63
57,0.801,154.57,81,147.07,50.58,131.8,10.75
58,0.815,156.3,80.61,148.41,50.71,132.12,12.15
59,0.829,157.9,80.1,149.75,50.33,131.94,12.03
60,0.844,159.88,80.23,151.22,50.33,132.26,12.66
61,0.858,162.08,80.23,153.3,50.33,132.69,12.92
62,0.872,164.19,79.6,155.41,50.07,133.39,13.93
63,0.887,166.42,79.85,157.01,50.07,133.97,14.83
64,0.901,169.07,78.96,160.29,49.06,135.48,14.95
65,0.915,171.74,79.47,163.22,49.06,136.75,16.48
66,0.929,175.16,78.83,166.89,48.55,139.14,17.37
67,0.944,177.8,78.58,170.04,48.16,140.9,18.64
68,0.958,180.6,79.09,174.11,48.04,143.69,19.79
69,0.972,182.44,77.94,176.97,47.02,145.54,20.42
70,0.987,185.67,78.83,181.73,47.53,149.53,21.82
71,1.001,187.29,78.2,184.36,46.89,152.68,22.21
72,1.015,189.48,78.83,188.33,47.27,156.39,23.73
73,1.03,190.89,79.09,191.78,47.66,159.84,24.24
74,1.044,193,79.6,195.29,48.16,163.99,24.37
75,1.058,195.16,79.72,199.1,48.93,168.44,24.5
76,1.072,196.42,80.1,202.66,49.31,172.5,23.61
77,1.087,198.68,81,206.19,50.33,177.3,22.84
78,1.101,200.53,81.63,209.57,51.22,182.08,21.95
79,1.115,202.48,82.14,212.66,52.11,187.09,21.06
80,1.13,204.8,82.65,215.74,52.62,192.2,19.66
81,1.144,206.78,82.52,218.49,53.13,197.36,17.88
82,1.158,209.07,83.03,221.28,53.89,202.96,16.86
83,1.173,211.07,83.03,223.8,54.02,208.15,15.59
