"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Trajectory 1/0/X";"Trajectory 1/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"1.788515";"26.03086";"6.980397";"5.731983";"8.279679";"27.74961";"-1.098401";"41.64318";"1.788515";"26.03086";"6.980397";"5.731983";"8.279679";"27.74961"
"8.341666";"2.300104";"25.79667";"7.269252";"5.561676";"8.23138";"27.70246";"-0.4166774";"41.58331";"2.300104";"25.79667";"7.269252";"5.561676";"8.23138";"27.70246"
"16.68333";"2.726473";"25.62328";"7.45882";"5.362514";"8.609257";"27.47626";"0.1190089";"41.43656";"2.726473";"25.62328";"7.45882";"5.362514";"8.609257";"27.47626"
"25.025";"3.116564";"25.49892";"7.609125";"5.257935";"9.008965";"27.21578";"0.7099508";"41.31024";"3.116564";"25.49892";"7.609125";"5.257935";"9.008965";"27.21578"
"33.36666";"3.579285";"25.40481";"7.803319";"5.211201";"9.463831";"27.01762";"1.336488";"41.20866";"3.579285";"25.40481";"7.803319";"5.211201";"9.463831";"27.01762"
"41.70833";"4.025304";"25.4031";"8.057612";"5.169575";"9.967514";"26.90937";"1.932956";"41.19423";"4.025304";"25.4031";"8.057612";"5.169575";"9.967514";"26.90937"
"50.05";"4.489164";"25.4619";"8.33401";"5.155716";"10.44987";"26.92765";"2.523808";"41.24589";"4.489164";"25.4619";"8.33401";"5.155716";"10.44987";"26.92765"
"58.39167";"5.016999";"25.4793";"8.560893";"5.12949";"10.97618";"26.96256";"3.205656";"41.3147";"5.016999";"25.4793";"8.560893";"5.12949";"10.97618";"26.96256"
"66.73333";"5.584298";"25.48654";"8.716635";"5.084782";"11.45471";"27.01694";"3.945375";"41.38291";"5.584298";"25.48654";"8.716635";"5.084782";"11.45471";"27.01694"
"75.075";"6.090484";"25.49636";"8.837289";"5.063728";"11.92829";"26.98588";"4.611216";"41.44658";"6.090484";"25.49636";"8.837289";"5.063728";"11.92829";"26.98588"
"83.41666";"6.54609";"25.48066";"8.98201";"5.051346";"12.37378";"26.91513";"5.319584";"41.4523";"6.54609";"25.48066";"8.98201";"5.051346";"12.37378";"26.91513"
"91.75833";"6.953852";"25.47831";"9.098074";"5.024384";"12.79142";"26.78484";"5.962326";"41.45386";"6.953852";"25.47831";"9.098074";"5.024384";"12.79142";"26.78484"
"100.1";"7.35573";"25.4723";"9.206891";"5.023006";"13.18873";"26.6408";"6.554557";"41.44605";"7.35573";"25.4723";"9.206891";"5.023006";"13.18873";"26.6408"
