"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.5295992"
"17";"1.062175"
"25";"1.603421"
"33";"2.157449"
"42";"2.726942"
"50";"3.312697"
"58";"3.912874"
"67";"4.523139"
"75";"5.137692"
"83";"5.749937"
"92";"6.352403"
"100";"6.937084"
"108";"7.496675"
"117";"8.025393"
"125";"8.518438"
"133";"8.971291"
"142";"9.380686"
"150";"9.746859"
"158";"10.07454"
"167";"10.37148"
"175";"10.64618"
"184";"10.9063"
"192";"11.15746"
"200";"11.40249"
"209";"11.64149"
"217";"11.87304"
"225";"12.09588"
"234";"12.31024"
"242";"12.51769"
"250";"12.72038"
"259";"12.92035"
"267";"13.11941"
"275";"13.31921"
"284";"13.52148"
"292";"13.72799"
"300";"13.94032"
"309";"14.15907"
"317";"14.38305"
"325";"14.6094"
"334";"14.83492"
"342";"15.05753"
"350";"15.27658"
"359";"15.49242"
"367";"15.70571"
"375";"15.91659"
"384";"16.12405"
"392";"16.32597"
"400";"16.51947"
"409";"16.70172"
"417";"16.87084"
"425";"17.02661"
"434";"17.17059"
"442";"17.30577"
"450";"17.4355"
"459";"17.56233"
"467";"17.68761"
"475";"17.81189"
"484";"17.93567"
"492";"18.06009"
"500";"18.18678"
"509";"18.31716"
"517";"18.45173"
"526";"18.59021"
"534";"18.73252"
"542";"18.87933"
"551";"19.03205"
"559";"19.19254"
"567";"19.36296"
"576";"19.54591"
"584";"19.74414"
"592";"19.95912"
"601";"20.18974"
"609";"20.43318"
"617";"20.68717"
"626";"20.95061"
"634";"21.22263"
"642";"21.50213"
"651";"21.78814"
"659";"22.08026"
"667";"22.37889"
"676";"22.6851"
"684";"22.99998"
"692";"23.32388"
"701";"23.65579"
"709";"23.99389"
"717";"24.33716"
"726";"24.68621"
"734";"25.04263"
"742";"25.40814"
"751";"25.78413"
"759";"26.17181"
"767";"26.57259"
"776";"26.98836"
"784";"27.4216"
"792";"27.87528"
"801";"28.35194"
"809";"28.85328"
"817";"29.38108"
"826";"29.93789"
"834";"30.52658"
"843";"31.14942"
"851";"31.80774"
"859";"32.5025"
"868";"33.23412"
"876";"34.00208"
"884";"34.80525"
"893";"35.64282"
"901";"36.51508"
"909";"37.42397"
"918";"38.37217"
"926";"39.36073"
"934";"40.38806"
"943";"41.45109"
"951";"42.54689"
"959";"43.67373"
"968";"44.83092"
"976";"46.01748"
"984";"47.23059"
"993";"48.46455"
