"Time (ms)";"Trajectory 1"
"0";"0"
"8";"-0.1924324"
"17";"-0.350235"
"25";"-0.4494514"
"33";"-0.4806671"
"42";"-0.4499664"
"50";"-0.3777695"
"58";"-0.2919006"
"67";"-0.218483"
"75";"-0.1748466"
"83";"-0.1655083"
"92";"-0.1836662"
"100";"-0.2173462"
"108";"-0.255352"
"117";"-0.2902985"
"125";"-0.3185081"
"133";"-0.3386803"
"142";"-0.3512497"
"150";"-0.3580589"
"158";"-0.3614731"
"167";"-0.3629341"
"175";"-0.3625031"
"184";"-0.3603096"
"192";"-0.3579674"
"200";"-0.3576469"
"209";"-0.359951"
"217";"-0.3641243"
"225";"-0.3702278"
"234";"-0.3792763"
"242";"-0.3914375"
"250";"-0.4047661"
"259";"-0.4157486"
"267";"-0.4218979"
"275";"-0.4239235"
"284";"-0.4253082"
"292";"-0.4297218"
"300";"-0.4382896"
"309";"-0.4495277"
"317";"-0.461586"
"325";"-0.473156"
"334";"-0.4823837"
"342";"-0.487587"
"350";"-0.4902611"
"359";"-0.4944496"
"367";"-0.501091"
"375";"-0.5058174"
"384";"-0.5036087"
"392";"-0.4938965"
"400";"-0.4799004"
"409";"-0.4644966"
"417";"-0.4492836"
"425";"-0.4355049"
"434";"-0.4235229"
"442";"-0.4134369"
"450";"-0.4054794"
"459";"-0.3982849"
"467";"-0.3897514"
"475";"-0.3801155"
"484";"-0.3707886"
"492";"-0.3604698"
"500";"-0.3462906"
"509";"-0.3286362"
"517";"-0.311058"
"526";"-0.295002"
"534";"-0.2785988"
"542";"-0.2611237"
"551";"-0.2444077"
"559";"-0.2294655"
"567";"-0.2153664"
"576";"-0.2010727"
"584";"-0.1864357"
"592";"-0.1726265"
"601";"-0.1626129"
"609";"-0.1594238"
"617";"-0.1628571"
"626";"-0.1696358"
"634";"-0.1765633"
"642";"-0.1822052"
"651";"-0.1870346"
"659";"-0.1928673"
"667";"-0.2011452"
"676";"-0.2112694"
"684";"-0.2213821"
"692";"-0.2304039"
"701";"-0.2386513"
"709";"-0.2471161"
"717";"-0.2566605"
"726";"-0.2670479"
"734";"-0.2762489"
"742";"-0.281868"
"751";"-0.2830162"
"759";"-0.2791862"
"767";"-0.2690086"
"776";"-0.2515755"
"784";"-0.226799"
"792";"-0.1946373"
"801";"-0.1562042"
"809";"-0.1144257"
"817";"-0.07168961"
"826";"-0.02791977"
"834";"0.01824951"
"843";"0.06723022"
"851";"0.1170311"
"859";"0.1640549"
"868";"0.2061157"
"876";"0.2436943"
"884";"0.2777901"
"893";"0.3080826"
"901";"0.3334923"
"909";"0.3534775"
"918";"0.3675575"
"926";"0.3739014"
"934";"0.3709297"
"943";"0.3611107"
