"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Trajectory 1/0/X";"Trajectory 1/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"8.129162";"29.70766";"-4.473886";"13.69516";"13.49532";"25.51593";"18.78863";"41.14661";"8.129162";"29.70766";"-4.473886";"13.69516";"13.49532";"25.51593"
"8.341666";"9.041268";"29.99646";"-3.709336";"14.08418";"13.5939";"25.46301";"19.88929";"41.26138";"9.041268";"29.99646";"-3.709336";"14.08418";"13.5939";"25.46301"
"16.68333";"10.01225";"30.28995";"-2.938354";"14.47419";"14.53214";"25.61802";"21.0189";"41.37173";"10.01225";"30.28995";"-2.938354";"14.47419";"14.53214";"25.61802"
"25.025";"11.03219";"30.58719";"-2.085176";"14.85293";"15.49695";"25.80202";"22.17338";"41.50029";"11.03219";"30.58719";"-2.085176";"14.85293";"15.49695";"25.80202"
"33.36666";"12.01482";"30.86648";"-1.19623";"15.20361";"16.4682";"25.97829";"23.29563";"41.61737";"12.01482";"30.86648";"-1.19623";"15.20361";"16.4682";"25.97829"
"41.70833";"13.01787";"31.10498";"-0.2480854";"15.56229";"17.46878";"26.16912";"24.40835";"41.76629";"13.01787";"31.10498";"-0.2480854";"15.56229";"17.46878";"26.16912"
"50.05";"14.07812";"31.33616";"0.7030321";"15.87404";"18.49866";"26.33723";"25.53101";"41.90357";"14.07812";"31.33616";"0.7030321";"15.87404";"18.49866";"26.33723"
"58.39167";"15.23158";"31.55386";"1.8113";"16.12537";"19.58955";"26.50664";"26.65596";"42.05759";"15.23158";"31.55386";"1.8113";"16.12537";"19.58955";"26.50664"
"66.73333";"16.3331";"31.69389";"2.931062";"16.30939";"20.71111";"26.65007";"27.77087";"42.20564";"16.3331";"31.69389";"2.931062";"16.30939";"20.71111";"26.65007"
"75.075";"17.48181";"31.81554";"4.066737";"16.41521";"21.85941";"26.78677";"28.84555";"42.34267";"17.48181";"31.81554";"4.066737";"16.41521";"21.85941";"26.78677"
"83.41666";"18.66036";"31.92595";"5.277965";"16.45541";"23.02542";"26.89605";"29.92062";"42.50497";"18.66036";"31.92595";"5.277965";"16.45541";"23.02542";"26.89605"
"91.75833";"19.78563";"32.00348";"6.547392";"16.41964";"24.20942";"26.98438";"30.99303";"42.66129";"19.78563";"32.00348";"6.547392";"16.41964";"24.20942";"26.98438"
"100.1";"20.89742";"32.04954";"7.915431";"16.32283";"25.36703";"27.08009";"32.05148";"42.80284";"20.89742";"32.04954";"7.915431";"16.32283";"25.36703";"27.08009"
"108.4417";"22.07958";"32.05606";"9.31921";"16.12638";"26.579";"27.14805";"33.08548";"42.92236";"22.07958";"32.05606";"9.31921";"16.12638";"26.579";"27.14805"
"116.7833";"23.27503";"32.01491";"10.73135";"15.89225";"27.80821";"27.17754";"34.13202";"43.02431";"23.27503";"32.01491";"10.73135";"15.89225";"27.80821";"27.17754"
"125.125";"24.48059";"31.92124";"12.31106";"15.50744";"29.0877";"27.18197";"35.19021";"43.12492";"24.48059";"31.92124";"12.31106";"15.50744";"29.0877";"27.18197"
"133.4667";"25.74454";"31.78024";"13.72697";"15.2371";"30.38702";"27.17845";"36.22979";"43.17776";"25.74454";"31.78024";"13.72697";"15.2371";"30.38702";"27.17845"
"141.8083";"27.02565";"31.60408";"15.29565";"14.88341";"31.67391";"27.13602";"37.25304";"43.21227";"27.02565";"31.60408";"15.29565";"14.88341";"31.67391";"27.13602"
"150.15";"28.26386";"31.43365";"16.88673";"14.47086";"32.96654";"27.09935";"38.29623";"43.22479";"28.26386";"31.43365";"16.88673";"14.47086";"32.96654";"27.09935"
"158.4917";"29.54041";"31.22044";"18.47781";"14.05832";"34.27005";"27.04622";"39.29455";"43.23215";"29.54041";"31.22044";"18.47781";"14.05832";"34.27005";"27.04622"
"166.8333";"30.80374";"31.02271";"20.26822";"13.64403";"35.55105";"27.01514";"40.29861";"43.27286";"30.80374";"31.02271";"20.26822";"13.64403";"35.55105";"27.01514"
"175.175";"32.04493";"30.81022";"21.8593";"13.23149";"36.87634";"26.95893";"41.26858";"43.27955";"32.04493";"30.81022";"21.8593";"13.23149";"36.87634";"26.95893"
"183.5167";"33.2832";"30.58949";"23.6497";"12.8172";"38.19583";"26.92669";"42.20805";"43.31017";"33.2832";"30.58949";"23.6497";"12.8172";"38.19583";"26.92669"
"191.8583";"34.50711";"30.37879";"25.24078";"12.40466";"39.46474";"26.86796";"43.09261";"43.32603";"34.50711";"30.37879";"25.24078";"12.40466";"39.46474";"26.86796"
"200.2";"35.70474";"30.17688";"27.03119";"11.99037";"40.72824";"26.83155";"43.95635";"43.33896";"35.70474";"30.17688";"27.03119";"11.99037";"40.72824";"26.83155"
"208.5417";"36.89883";"29.96765";"28.62227";"11.57783";"41.97834";"26.81175";"44.80507";"43.36285";"36.89883";"29.96765";"28.62227";"11.57783";"41.97834";"26.81175"
"216.8833";"38.05011";"29.7824";"30.41267";"11.16354";"43.19697";"26.78802";"45.60117";"43.37178";"38.05011";"29.7824";"30.41267";"11.16354";"43.19697";"26.78802"
"225.225";"39.21221";"29.59688";"32.20307";"10.74926";"44.44173";"26.76383";"46.39539";"43.39282";"39.21221";"29.59688";"32.20307";"10.74926";"44.44173";"26.76383"
"233.5667";"40.38145";"29.40623";"33.99348";"10.33498";"45.65327";"26.74443";"47.1652";"43.40808";"40.38145";"29.40623";"33.99348";"10.33498";"45.65327";"26.74443"
"241.9083";"41.543";"29.20473";"35.78388";"9.920691";"46.85286";"26.73401";"47.9148";"43.40071";"41.543";"29.20473";"35.78388";"9.920691";"46.85286";"26.73401"
"250.25";"42.7007";"29.03326";"37.37496";"9.508146";"48.05579";"26.73559";"48.69167";"43.39676";"42.7007";"29.03326";"37.37496";"9.508146";"48.05579";"26.73559"
"258.5917";"43.85159";"28.86583";"39.11246";"9.266916";"49.24811";"26.73916";"49.47048";"43.38704";"43.85159";"28.86583";"39.11246";"9.266916";"49.24811";"26.73916"
"266.9333";"45.01073";"28.71112";"40.75818";"8.880636";"50.44094";"26.77007";"50.23885";"43.37412";"45.01073";"28.71112";"40.75818";"8.880636";"50.44094";"26.77007"
"275.275";"46.17698";"28.55438";"42.49453";"8.652044";"51.59038";"26.77623";"50.9925";"43.36224";"46.17698";"28.55438";"42.49453";"8.652044";"51.59038";"26.77623"
"283.6167";"47.3089";"28.39835";"44.16019";"8.394896";"52.73273";"26.83478";"51.72683";"43.33828";"47.3089";"28.39835";"44.16019";"8.394896";"52.73273";"26.83478"
"291.9583";"48.43479";"28.27121";"45.93355";"8.038162";"53.88131";"26.87273";"52.45221";"43.32889";"48.43479";"28.27121";"45.93355";"8.038162";"53.88131";"26.87273"
"300.3";"49.55193";"28.13891";"47.51163";"7.914936";"54.97797";"26.92322";"53.15368";"43.2952";"49.55193";"28.13891";"47.51163";"7.914936";"54.97797";"26.92322"
"308.6417";"50.65911";"28.02404";"49.10172";"7.729511";"56.0756";"26.99562";"53.84243";"43.28806";"50.65911";"28.02404";"49.10172";"7.729511";"56.0756";"26.99562"
"316.9833";"51.7271";"27.90628";"50.69786";"7.559509";"57.12252";"27.05075";"54.49872";"43.24696";"51.7271";"27.90628";"50.69786";"7.559509";"57.12252";"27.05075"
"325.325";"52.75075";"27.79572";"52.2853";"7.409557";"58.17525";"27.11705";"55.13407";"43.23725";"52.75075";"27.79572";"52.2853";"7.409557";"58.17525";"27.11705"
"333.6667";"53.76871";"27.69759";"53.79229";"7.315132";"59.1642";"27.18741";"55.78288";"43.20881";"53.76871";"27.69759";"53.79229";"7.315132";"59.1642";"27.18741"
"342.0083";"54.75003";"27.63005";"55.30264";"7.190491";"60.15957";"27.264";"56.36609";"43.18757";"54.75003";"27.63005";"55.30264";"7.190491";"60.15957";"27.264"
"350.35";"55.699";"27.51938";"56.74818";"7.12344";"61.10082";"27.33711";"56.91586";"43.12988";"55.699";"27.51938";"56.74818";"7.12344";"61.10082";"27.33711"
"358.6917";"56.63818";"27.44981";"58.19397";"7.061363";"62.0134";"27.42068";"57.46053";"43.08081";"56.63818";"27.44981";"58.19397";"7.061363";"62.0134";"27.42068"
"367.0333";"57.52101";"27.35938";"59.57761";"7.01675";"62.90536";"27.5127";"57.99285";"43.04002";"57.52101";"27.35938";"59.57761";"7.01675";"62.90536";"27.5127"
"375.375";"58.40426";"27.30249";"60.94031";"7.004112";"63.79085";"27.59449";"58.48363";"43.00296";"58.40426";"27.30249";"60.94031";"7.004112";"63.79085";"27.59449"
"383.7167";"59.24915";"27.24957";"62.2777";"7.002403";"64.60231";"27.69077";"58.96107";"42.95558";"59.24915";"27.24957";"62.2777";"7.002403";"64.60231";"27.69077"
