"Time (ms)";"Trajectory 1"
"0";"0"
"8";"1.239874"
"17";"2.47411"
"25";"3.703312"
"33";"4.926964"
"42";"6.143688"
"50";"7.351473"
"58";"8.54838"
"67";"9.733437"
"75";"10.90716"
"83";"12.07122"
"92";"13.22751"
"100";"14.37767"
"108";"15.52326"
"117";"16.66565"
"125";"17.80549"
"133";"18.94221"
"142";"20.07405"
"150";"21.19818"
"158";"22.31053"
"167";"23.40586"
"175";"24.47883"
"184";"25.52564"
"192";"26.54458"
"200";"27.53507"
"209";"28.49668"
"217";"29.42951"
"225";"30.33541"
"234";"31.21814"
"242";"32.08237"
"250";"32.93223"
"259";"33.77033"
"267";"34.5975"
"275";"35.4131"
"284";"36.21563"
"292";"37.00314"
"300";"37.7741"
"309";"38.52786"
"317";"39.26441"
"325";"39.98386"
"334";"40.68631"
"342";"41.3717"
"350";"42.04025"
"359";"42.69317"
"367";"43.33252"
"375";"43.96054"
"384";"44.57931"
"392";"45.1909"
"400";"45.79749"
"409";"46.401"
"417";"47.00262"
"425";"47.60271"
"434";"48.2013"
"442";"48.79867"
"450";"49.39536"
"459";"49.99174"
"467";"50.58763"
"475";"51.18221"
"484";"51.77426"
"492";"52.36253"
"500";"52.94626"
"509";"53.52544"
"517";"54.10136"
"526";"54.67685"
"534";"55.25582"
