"Time (ms)";"Trajectory 1"
"0";"0"
"8";"0.1135864"
"17";"0.2299004"
"25";"0.3515396"
"33";"0.4801674"
"42";"0.6161728"
"50";"0.758625"
"58";"0.90588"
"67";"1.056442"
"75";"1.209133"
"83";"1.361923"
"92";"1.510643"
"100";"1.649616"
"108";"1.773491"
"117";"1.878155"
"125";"1.960678"
"133";"2.020206"
"142";"2.059498"
"150";"2.084869"
"158";"2.103668"
"167";"2.121136"
"175";"2.139324"
"184";"2.158249"
"192";"2.177303"
"200";"2.195992"
"209";"2.213886"
"217";"2.230183"
"225";"2.24337"
"234";"2.25156"
"242";"2.253555"
"250";"2.249573"
"259";"2.240726"
"267";"2.228165"
"275";"2.212769"
"284";"2.195198"
"292";"2.175976"
"300";"2.155518"
"309";"2.13409"
"317";"2.111614"
"325";"2.087231"
"334";"2.059071"
"342";"2.025234"
"350";"1.985573"
"359";"1.941967"
"367";"1.896454"
"375";"1.849628"
"384";"1.801342"
"392";"1.752541"
"400";"1.705692"
"409";"1.663002"
"417";"1.624184"
"425";"1.586613"
"434";"1.547649"
"442";"1.506413"
"450";"1.463409"
"459";"1.418945"
"467";"1.372681"
"475";"1.324448"
"484";"1.274624"
"492";"1.223431"
"500";"1.17041"
"509";"1.114899"
"517";"1.056747"
"526";"0.9960365"
"534";"0.932579"
"542";"0.8666039"
"551";"0.7993965"
"559";"0.731987"
