Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0;0;0;15.003;;;
0.01;0.5375;-0.1688;15.741;;;
0.02;1.1125;-0.3125;15.588;;;
0.03;1.7375;-0.4125;14.967;;;
0.04;2.4;-0.45;14.382;;;
0.05;3.1125;-0.4375;14.202;;;
0.06;3.8625;-0.3875;14.355;;;
0.07;4.6375;-0.3375;14.337;;;
0.08;5.4125;-0.3063;13.851;;;
0.09;6.1375;-0.2938;12.933;;;
0.1;6.825;-0.2938;11.889;;;
0.11;7.45;-0.3063;10.971;;;
0.12;8.05;-0.3125;10.242;;;
0.13;8.5875;-0.325;9.639;;;
0.14;9.0875;-0.3313;9.108;;;
0.15;9.5125;-0.3375;8.64;;;
0.16;9.875;-0.3438;8.199;;;
0.17;10.1875;-0.35;7.812;;;
0.18;10.475;-0.35;7.389;;;
0.19;10.7375;-0.35;6.894;;;
0.2;11;-0.35;6.354;;;
0.21;11.2625;-0.35;5.85;;;
0.22;11.5;-0.3563;5.454;;;
0.23;11.7375;-0.3625;5.193;;;
0.24;11.9625;-0.3688;5.031;;;
0.25;12.175;-0.375;4.887;;;
0.26;12.3625;-0.3875;4.698;;;
0.27;12.55;-0.3938;4.464;;;
0.28;12.7375;-0.4062;4.176;;;
0.29;12.9125;-0.4125;3.852;;;
0.3;13.1125;-0.425;3.519;;;
0.31;13.3125;-0.4375;3.204;;;
0.32;13.5125;-0.45;2.934;;;
0.33;13.725;-0.4625;2.7;;;
0.34;13.9375;-0.475;2.457;;;
0.35;14.1375;-0.4813;2.169;;;
0.36;14.3375;-0.4938;1.827;;;
0.37;14.5375;-0.5;1.449;;;
0.38;14.7375;-0.5062;1.08;;;
0.39;14.925;-0.5125;0.729;;;
0.4;15.1125;-0.5125;0.414;;;
0.41;15.2875;-0.5125;0.099;;;
0.42;15.4625;-0.5125;-0.243;;;
0.43;15.6375;-0.5125;-0.594;;;
0.44;15.825;-0.5188;-0.972;;;
0.45;16.0125;-0.525;-1.341;;;
0.46;16.2125;-0.5312;-1.71;;;
0.47;16.4;-0.5312;-2.061;;;
0.48;16.6125;-0.5375;-2.421;;;
0.49;16.8125;-0.55;-2.781;;;
0.5;17.025;-0.5563;-3.141;;;
0.51;17.2375;-0.5687;-3.51;;;
0.52;17.45;-0.575;-3.897;;;
0.53;17.675;-0.5875;-4.284;;;
0.54;17.9;-0.5938;-4.68;;;
0.55;18.1375;-0.6;-5.094;;;
0.56;18.375;-0.6063;-5.517;;;
0.57;18.625;-0.6125;-5.976;;;
0.58;18.8875;-0.6188;-6.48;;;
0.59;19.1625;-0.6313;-7.011;;;
0.6;19.45;-0.6438;-7.56;;;
0.61;19.75;-0.6562;-8.127;;;
0.62;20.075;-0.675;-8.712;;;
0.63;20.4125;-0.6938;-9.306;;;
0.64;20.7625;-0.7063;-9.918;;;
0.65;21.1375;-0.725;-10.548;;;
0.66;21.5125;-0.7375;-11.214;;;
0.67;21.9125;-0.7438;-11.916;;;
0.68;22.3125;-0.7563;-12.654;;;
0.69;22.7375;-0.7625;-13.41;;;
0.7;23.175;-0.7688;-14.184;;;
0.71;23.625;-0.775;-14.958;;;
0.72;24.0875;-0.7812;-15.759;;;
0.73;24.575;-0.7812;-16.605;;;
0.74;25.075;-0.7812;-17.487;;;
0.75;25.6;-0.775;-18.432;;;
0.76;26.1375;-0.7688;-19.422;;;
0.77;26.7125;-0.7625;-20.466;;;
0.78;27.3125;-0.75;-21.537;;;
0.79;27.95;-0.7375;-22.653;;;
0.8;28.6125;-0.7188;-23.814;;;
0.81;29.325;-0.7;-25.029;;;
0.82;30.0875;-0.6813;-26.289;;;
0.83;30.9;-0.6562;-27.585;;;
0.84;31.7625;-0.6375;-28.926;;;
0.85;32.6875;-0.6125;-30.339;;;
0.86;33.675;-0.5875;-31.833;;;
0.87;34.7375;-0.5687;-33.399;;;
0.88;35.8625;-0.5438;-35.028;;;
0.89;37.075;-0.5188;-36.666;;;
0.9;38.3625;-0.4875;-38.295;;;
0.91;39.7375;-0.45;-39.915;;;
0.92;41.1875;-0.3938;-41.49;;;
0.93;42.7;-0.325;-43.002;;;
0.94;44.275;-0.25;-44;;;
;;;;;; 
