Tiempo_sagital_balanceo;Posicion_cm_X_balanceo;Posicion_cm_Y_balanceo;Angulo_sagital_balanceo;;;
0;0;0;-39.141;;;
0.01;1.2;0.1313;-44.3;;;
0.02;2.4;0.2625;-44.3;;;
0.03;3.6125;0.3813;-44.3;;;
0.04;4.825;0.5062;-44.3;;;
0.05;6.0375;0.6375;-44.3;;;
0.06;7.25;0.775;-44.3;;;
0.07;8.4375;0.925;-44.3;;;
0.08;9.625;1.0813;-44.3;;;
0.09;10.7875;1.2313;-44.3;;;
0.1;11.9375;1.375;-44.3;;;
0.11;13.0625;1.5063;-44.3;;;
0.12;14.1875;1.6188;-44.3;;;
0.13;15.3;1.7188;-44.3;;;
0.14;16.4;1.8;-44.3;;;
0.15;17.4875;1.8625;-44.3;;;
0.16;18.5625;1.9125;-43.371;;;
0.17;19.625;1.9563;-41.598;;;
0.18;20.6625;1.9938;-39.654;;;
0.19;21.675;2.0312;-37.521;;;
0.2;22.65;2.0562;-35.244;;;
0.21;23.6125;2.0875;-32.877;;; 
0.22;24.525;2.1063;-30.447;;;
0.23;25.425;2.1187;-27.963;;;
0.24;26.3;2.125;-25.443;;;
0.25;27.15;2.125;-22.905;;;
0.26;27.9875;2.1187;-20.268;;;
0.27;28.8;2.1125;-17.604;;;
0.28;29.6;2.1;-14.949;;;
0.29;30.3875;2.0875;-12.312;;;
0.3;31.1625;2.0688;-9.675;;;
0.31;31.9;2.05;-7.092;;;
0.32;32.625;2.025;-4.545;;;
0.33;33.325;2;-2.043;;;
0.34;33.9875;1.9688;0.387;;;
0.35;34.6375;1.9313;2.745;;;
0.36;35.25;1.8938;5.04;;;
0.37;35.85;1.8563;7.245;;;
0.38;36.4375;1.8125;9.378;;;
0.39;37.0125;1.7688;11.412;;;
0.4;37.5875;1.7188;13.329;;;
0.41;38.1375;1.6688;15.093;;;
0.42;38.7;1.6188;16.695;;;
0.43;39.25;1.5688;18.126;;;
0.44;39.8;1.5063;19.35;;;
0.45;40.3375;1.4438;20.376;;;
0.46;40.8875;1.375;21.186;;;
0.47;41.4375;1.3;21.771;;;
0.48;41.975;1.2188;22.167;;;
0.49;42.5125;1.1313;22.356;;;
0.5;43.0375;1.0312;22.338;;;
0.51;43.5625;0.925;22.095;;;
0.52;44.0875;0.8063;21.699;;;
0.53;44.5875;0.6875;21.168;;;
