Tiempo_s;Angulo_Plataforma_deg
0.000;-38.3490
0.010;-39.5730
0.020;-40.7250
0.030;-41.7780
0.040;-42.7500
0.050;-43.6680
0.060;-44.4150
0.070;-44.9730
0.080;-45.4500
0.090;-45.8370
0.100;-46.0980
0.110;-46.2960
0.120;-46.4310
0.130;-46.3680
0.140;-46.1430
0.150;-45.7470
0.160;-45.1260
0.170;-44.3340
0.180;-43.4070
0.190;-42.3630
0.200;-41.2470
0.210;-39.9240
0.220;-38.4300
0.230;-36.7920
0.240;-35.0640
0.250;-33.2280
0.260;-31.2390
0.270;-29.2500
0.280;-27.2610
0.290;-25.1730
0.300;-23.0220
0.310;-20.7990
0.320;-18.5130
0.330;-16.1910
0.340;-13.8690
0.350;-11.5290
0.360;-9.1620
0.370;-6.7950
0.380;-4.4550
0.390;-2.1780
0.400;0.0720
0.410;2.2950
0.420;4.4910
0.430;6.6150
0.440;8.6670
0.450;10.6290
0.460;12.5460
0.470;14.4450
0.480;16.2540
0.490;17.9820
0.500;19.6020
0.510;21.0690
0.520;22.4460
0.530;23.7330
0.540;24.8940
0.550;25.9380
0.560;26.8470
0.570;27.5940
0.580;28.1700
0.590;28.5840
0.600;28.8630
0.610;29.0430
0.620;29.1240
0.630;29.1150
0.640;29.0250
0.650;28.8540
0.660;28.6110
0.670;28.3500
0.680;28.0080
0.690;27.5670
0.700;27.0000
0.710;26.2440
0.720;25.2990
