Tiempo_s;Posicion_cm
0.947;0.0000
0.957;1.5875
0.967;3.2125
0.977;4.9375
0.987;6.7500
0.997;8.6375
1.007;10.5875
1.017;12.5500
1.027;14.5250
1.037;16.5000
1.047;18.4625
1.057;20.4250
1.067;22.4250
1.077;24.4375
1.087;26.4750
1.097;28.5250
1.107;30.5625
1.117;32.5875
1.127;34.6000
1.137;36.6125
1.147;38.6000
1.157;40.5750
1.167;42.5250
1.177;44.4500
1.187;46.3500
1.197;48.2125
1.207;50.0625
1.217;51.8750
1.227;53.6750
1.237;55.4375
1.247;57.1750
1.257;58.8750
1.267;60.5375
1.277;62.1625
1.287;63.7625
1.297;65.3250
1.307;66.8625
1.317;68.3625
1.327;69.8250
1.337;71.2500
1.347;72.6250
1.357;73.9625
1.367;75.2625
1.377;76.5375
1.387;77.7750
1.397;79.0000
1.407;80.2000
1.417;81.3750
1.427;82.5375
1.437;83.6875
1.447;84.8375
1.457;85.9750
1.467;87.1125
1.477;88.2250
1.487;89.3375
1.497;90.4125
1.507;91.4750
1.517;92.5250
1.527;93.5625
1.537;94.5875
1.547;95.6125
1.557;96.6375
1.567;97.6625
1.577;98.7000
1.587;99.7375
1.597;100.7500
1.607;101.7500
1.617;102.7375
1.627;103.7000
1.637;104.6500
1.647;105.6000
1.657;106.5500
1.667;107.5000
