Tiempo_s;Posicion_cm
0.946;0.0000
0.956;-0.0938
0.966;-0.1938
0.976;-0.3063
0.986;-0.4188
0.996;-0.5250
1.006;-0.6063
1.016;-0.6562
1.026;-0.6688
1.036;-0.6438
1.046;-0.5813
1.056;-0.4938
1.066;-0.3875
1.076;-0.2750
1.086;-0.1562
1.096;-0.0312
1.106;0.1000
1.116;0.2375
1.126;0.3938
1.136;0.5500
1.146;0.7125
1.156;0.8875
1.166;1.0625
1.176;1.2438
1.186;1.4188
1.196;1.5813
1.206;1.7375
1.216;1.8813
1.226;2.0188
1.236;2.1438
1.246;2.2625
1.256;2.3750
1.266;2.4750
1.276;2.5688
1.286;2.6438
1.296;2.7063
1.306;2.7500
1.316;2.7750
1.326;2.7812
1.336;2.7688
1.346;2.7438
1.356;2.7063
1.366;2.6500
1.376;2.5750
1.386;2.4750
1.396;2.3687
1.406;2.2375
1.416;2.0938
1.426;1.9438
1.436;1.7875
1.446;1.6250
1.456;1.4563
1.466;1.2875
1.476;1.1062
1.486;0.9188
1.496;0.7125
1.506;0.5000
1.516;0.2687
1.526;0.0312
1.536;-0.2188
1.546;-0.4750
1.556;-0.7313
1.566;-0.9813
1.576;-1.2375
1.586;-1.4938
1.596;-1.7688
1.606;-2.0500
1.616;-2.3438
1.626;-2.6562
1.636;-2.9875
1.646;-3.3250
1.656;-3.6813
1.666;-4.0500
