"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"-291.9299";"-73.16296";"-80.60388";"-291.7448";"-146.3599";"-17.38379";"-291.9299";"-73.16296";"-80.60388";"-291.7448";"-146.3599";"-17.38379"
"8.341666";"-291.7878";"-73.69025";"-80.91797";"-291.9532";"-146";"-17";"-291.7878";"-73.69025";"-80.91797";"-291.9532";"-146";"-17"
"16.68333";"-291.8101";"-73.35645";"-80.91797";"-291.9532";"-145.8911";"-17.01099";"-291.8101";"-73.35645";"-80.91797";"-291.9532";"-145.8911";"-17.01099"
"25.025";"-291.7213";"-71.61078";"-80.91797";"-291.9532";"-145.7673";"-17.00208";"-291.7213";"-71.61078";"-80.91797";"-291.9532";"-145.7673";"-17.00208"
"33.36666";"-291.708";"-72.01959";"-80.91797";"-291.9532";"-145.7396";"-17.00934";"-291.708";"-72.01959";"-80.91797";"-291.9532";"-145.7396";"-17.00934"
"41.70833";"-291.7053";"-72.02008";"-80.91797";"-291.9532";"-145.7094";"-17.01489";"-291.7053";"-72.02008";"-80.91797";"-291.9532";"-145.7094";"-17.01489"
"50.05";"-291.6439";"-72.03076";"-80.91797";"-291.9532";"-145.5589";"-17.01996";"-291.6439";"-72.03076";"-80.91797";"-291.9532";"-145.5589";"-17.01996"
"58.39167";"-291.6471";"-72.30017";"-80.91797";"-291.9532";"-145.5125";"-17.05072";"-291.6471";"-72.30017";"-80.91797";"-291.9532";"-145.5125";"-17.05072"
"66.73333";"-291.6611";"-71.31287";"-80.91797";"-291.9532";"-145.4193";"-17.02649";"-291.6611";"-71.31287";"-80.91797";"-291.9532";"-145.4193";"-17.02649"
"75.075";"-291.6536";"-69.22394";"-80.91797";"-291.9532";"-145.3524";"-17.0459";"-291.6536";"-69.22394";"-80.91797";"-291.9532";"-145.3524";"-17.0459"
