"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"0";"-198.145";"-48.14624";"-47.12714";"-379.3378";"-85.43549";"-143.9645";"-198.145";"-48.14624";"-47.12714";"-379.3378";"-85.43549";"-143.9645"
"8.341666";"-197.7723";"-47.88159";"-59.3764";"-379.0446";"-84.87872";"-144.0557";"-197.7723";"-47.88159";"-59.3764";"-379.0446";"-84.87872";"-144.0557"
"16.68333";"-197.5125";"-47.8172";"-57.93359";"-379.1422";"-84.68042";"-144.0518";"-197.5125";"-47.8172";"-57.93359";"-379.1422";"-84.68042";"-144.0518"
"25.025";"-197.2491";"-47.80176";"-65.30353";"-379.4086";"-84.5484";"-144.0344";"-197.2491";"-47.80176";"-65.30353";"-379.4086";"-84.5484";"-144.0344"
"33.36666";"-197.049";"-47.73206";"-59.81836";"-378.9753";"-84.38861";"-144.1288";"-197.049";"-47.73206";"-59.81836";"-378.9753";"-84.38861";"-144.1288"
"41.70833";"-196.8442";"-47.638";"-63.33984";"-379.2275";"-84.24823";"-144.1094";"-196.8442";"-47.638";"-63.33984";"-379.2275";"-84.24823";"-144.1094"
"50.05";"-196.777";"-47.43604";"-63.13733";"-379.17";"-84.07935";"-144.0955";"-196.777";"-47.43604";"-63.13733";"-379.17";"-84.07935";"-144.0955"
"58.39167";"-196.5182";"-47.36536";"-61.70563";"-379.2471";"-83.92578";"-144.0911";"-196.5182";"-47.36536";"-61.70563";"-379.2471";"-83.92578";"-144.0911"
"66.73333";"-196.2517";"-47.3468";"-53.82813";"-379.2641";"-83.7724";"-144.1218";"-196.2517";"-47.3468";"-53.82813";"-379.2641";"-83.7724";"-144.1218"
"75.075";"-196.0701";"-47.26611";"-50.00391";"-379.8111";"-83.70648";"-144.1113";"-196.0701";"-47.26611";"-50.00391";"-379.8111";"-83.70648";"-144.1113"
"83.41666";"-195.8722";"-47.13745";"-56.72968";"-379.8331";"-83.52972";"-144.1097";"-195.8722";"-47.13745";"-56.72968";"-379.8331";"-83.52972";"-144.1097"
"91.75833";"-195.6631";"-47.07025";"-56.27002";"-379.2094";"-83.46533";"-144.1445";"-195.6631";"-47.07025";"-56.27002";"-379.2094";"-83.46533";"-144.1445"
"100.1";"-195.4865";"-47.07446";"-52.26331";"-379.3429";"-83.26941";"-144.1671";"-195.4865";"-47.07446";"-52.26331";"-379.3429";"-83.26941";"-144.1671"
"108.4417";"-195.208";"-47.02661";"-56.8515";"-379.1318";"-83.13062";"-144.1573";"-195.208";"-47.02661";"-56.8515";"-379.1318";"-83.13062";"-144.1573"
"116.7833";"-194.8409";"-46.93414";"-48.40771";"-378.9861";"-82.81201";"-144.1746";"-194.8409";"-46.93414";"-48.40771";"-378.9861";"-82.81201";"-144.1746"
"125.125";"-194.3953";"-46.64642";"-52.31732";"-378.6331";"-82.52203";"-143.9485";"-194.3953";"-46.64642";"-52.31732";"-378.6331";"-82.52203";"-143.9485"
"133.4667";"-194.3269";"-46.35156";"-52.99072";"-379.0219";"-82.33948";"-143.8479";"-194.3269";"-46.35156";"-52.99072";"-379.0219";"-82.33948";"-143.8479"
"141.8083";"-194.3074";"-46.34692";"-55.93103";"-379.0182";"-82.3316";"-143.8529";"-194.3074";"-46.34692";"-55.93103";"-379.0182";"-82.3316";"-143.8529"
"150.15";"-194.1913";"-46.31317";"-48.35077";"-378.7784";"-82.31989";"-143.8864";"-194.1913";"-46.31317";"-48.35077";"-378.7784";"-82.31989";"-143.8864"
"158.4917";"-194.0922";"-46.24902";"-46.76471";"-379.1093";"-82.29041";"-143.9308";"-194.0922";"-46.24902";"-46.76471";"-379.1093";"-82.29041";"-143.9308"
"166.8333";"-193.9121";"-46.22375";"-55.6908";"-378.9694";"-82.12207";"-144.0174";"-193.9121";"-46.22375";"-55.6908";"-378.9694";"-82.12207";"-144.0174"
"175.175";"-193.7215";"-46.30475";"-59.98767";"-379.2676";"-82.09857";"-144.2427";"-193.7215";"-46.30475";"-59.98767";"-379.2676";"-82.09857";"-144.2427"
"183.5167";"-193.5544";"-46.54285";"-59.20197";"-380.0438";"-82.04199";"-144.5083";"-193.5544";"-46.54285";"-59.20197";"-380.0438";"-82.04199";"-144.5083"
"191.8583";"-193.4177";"-46.65808";"-45";"-380";"-82.02515";"-144.5408";"-193.4177";"-46.65808";"-45";"-380";"-82.02515";"-144.5408"
"200.2";"-193.3203";"-46.48285";"-44.85187";"-379.3347";"-81.83124";"-144.5558";"-193.3203";"-46.48285";"-44.85187";"-379.3347";"-81.83124";"-144.5558"
"208.5417";"-193.0718";"-46.28943";"-44.07031";"-379.3243";"-81.6709";"-144.5134";"-193.0718";"-46.28943";"-44.07031";"-379.3243";"-81.6709";"-144.5134"
"216.8833";"-192.7762";"-46.12671";"-44.1286";"-378.9065";"-81.49261";"-144.4075";"-192.7762";"-46.12671";"-44.1286";"-378.9065";"-81.49261";"-144.4075"
"225.225";"-192.4803";"-46.01233";"-42.48486";"-379.0781";"-81.38733";"-144.3163";"-192.4803";"-46.01233";"-42.48486";"-379.0781";"-81.38733";"-144.3163"
"233.5667";"-192.3529";"-45.80231";"-45.31946";"-379.246";"-81.30432";"-144.1938";"-192.3529";"-45.80231";"-45.31946";"-379.246";"-81.30432";"-144.1938"
"241.9083";"-192.1732";"-45.76709";"-45.29645";"-379.5292";"-81.16797";"-144.1681";"-192.1732";"-45.76709";"-45.29645";"-379.5292";"-81.16797";"-144.1681"
"250.25";"-191.8879";"-45.7605";"-45.16235";"-380.1293";"-80.88885";"-144.2767";"-191.8879";"-45.7605";"-45.16235";"-380.1293";"-80.88885";"-144.2767"
"258.5917";"-191.6518";"-45.79095";"-47.58807";"-380.0374";"-80.70294";"-144.3107";"-191.6518";"-45.79095";"-47.58807";"-380.0374";"-80.70294";"-144.3107"
"266.9333";"-191.444";"-46.01282";"-61.26215";"-380.3397";"-80.50446";"-144.5096";"-191.444";"-46.01282";"-61.26215";"-380.3397";"-80.50446";"-144.5096"
"275.275";"-191.2286";"-45.99261";"-73.0462";"-380.4313";"-80.39966";"-144.5926";"-191.2286";"-45.99261";"-73.0462";"-380.4313";"-80.39966";"-144.5926"
"283.6167";"-191.1728";"-45.95422";"-72.99518";"-380.0878";"-80.24512";"-144.5724";"-191.1728";"-45.95422";"-72.99518";"-380.0878";"-80.24512";"-144.5724"
"291.9583";"-191.0126";"-45.69745";"-73.40656";"-380.0873";"-80.19641";"-144.4248";"-191.0126";"-45.69745";"-73.40656";"-380.0873";"-80.19641";"-144.4248"
"300.3";"-190.8691";"-45.4057";"-70.0639";"-380.0419";"-79.96716";"-144.2632";"-190.8691";"-45.4057";"-70.0639";"-380.0419";"-79.96716";"-144.2632"
"308.6417";"-190.6486";"-45.32983";"-69.62964";"-380.0409";"-79.86041";"-144.1656";"-190.6486";"-45.32983";"-69.62964";"-380.0409";"-79.86041";"-144.1656"
"316.9833";"-190.5975";"-45.24188";"-64.86597";"-379.993";"-79.8006";"-144.1664";"-190.5975";"-45.24188";"-64.86597";"-379.993";"-79.8006";"-144.1664"
"325.325";"-190.3359";"-45.31738";"-70.74951";"-379.7127";"-79.65802";"-144.2189";"-190.3359";"-45.31738";"-70.74951";"-379.7127";"-79.65802";"-144.2189"
"333.6667";"-190.209";"-45.35889";"-74.77905";"-380.1627";"-79.45477";"-144.3762";"-190.209";"-45.35889";"-74.77905";"-380.1627";"-79.45477";"-144.3762"
"342.0083";"-189.9705";"-45.64008";"-70.66296";"-380.232";"-79.31189";"-144.6835";"-189.9705";"-45.64008";"-70.66296";"-380.232";"-79.31189";"-144.6835"
"350.35";"-189.7031";"-45.7196";"-70.7243";"-380.7756";"-78.9989";"-144.8403";"-189.7031";"-45.7196";"-70.7243";"-380.7756";"-78.9989";"-144.8403"
"358.6917";"-189.373";"-45.78772";"-58.81256";"-380.1649";"-78.79803";"-144.793";"-189.373";"-45.78772";"-58.81256";"-380.1649";"-78.79803";"-144.793"
"367.0333";"-189.2368";"-45.47559";"-62.7514";"-380.2477";"-78.57678";"-144.485";"-189.2368";"-45.47559";"-62.7514";"-380.2477";"-78.57678";"-144.485"
"375.375";"-188.9574";"-45.22729";"-49";"-380";"-78.34747";"-144.3433";"-188.9574";"-45.22729";"-49";"-380";"-78.34747";"-144.3433"
"383.7167";"-188.8421";"-45.09338";"-62.18146";"-379.6934";"-78.23431";"-144.225";"-188.8421";"-45.09338";"-62.18146";"-379.6934";"-78.23431";"-144.225"
"392.0583";"-188.8104";"-44.96185";"-62.24255";"-379.301";"-78.20288";"-144.1475";"-188.8104";"-44.96185";"-62.24255";"-379.301";"-78.20288";"-144.1475"
"400.4";"-188.6748";"-44.96344";"-50.65881";"-379.9241";"-78.13654";"-144.2428";"-188.6748";"-44.96344";"-50.65881";"-379.9241";"-78.13654";"-144.2428"
"408.7417";"-188.4466";"-45.23987";"-50.83185";"-379.6627";"-78.01202";"-144.5362";"-188.4466";"-45.23987";"-50.83185";"-379.6627";"-78.01202";"-144.5362"
"417.0833";"-188.2905";"-45.47583";"-66";"-380";"-77.87701";"-144.8577";"-188.2905";"-45.47583";"-66";"-380";"-77.87701";"-144.8577"
"425.425";"-188.1042";"-45.5368";"-68.90112";"-380.4957";"-77.7915";"-144.9485";"-188.1042";"-45.5368";"-68.90112";"-380.4957";"-77.7915";"-144.9485"
"433.7667";"-187.9086";"-45.69708";"-65.93109";"-380.6971";"-77.59894";"-145.0701";"-187.9086";"-45.69708";"-65.93109";"-380.6971";"-77.59894";"-145.0701"
"442.1083";"-187.7412";"-45.7052";"-68.75897";"-380.7354";"-77.36108";"-145.1996";"-187.7412";"-45.7052";"-68.75897";"-380.7354";"-77.36108";"-145.1996"
"450.45";"-187.4255";"-45.79633";"-57.24207";"-380.6978";"-77.11957";"-145.1925";"-187.4255";"-45.79633";"-57.24207";"-380.6978";"-77.11957";"-145.1925"
"458.7917";"-187.1848";"-45.73181";"-64.44171";"-380.8838";"-76.91302";"-145.1503";"-187.1848";"-45.73181";"-64.44171";"-380.8838";"-76.91302";"-145.1503"
"467.1333";"-187.1248";"-45.56085";"-56.78552";"-381.1183";"-76.88458";"-145.1275";"-187.1248";"-45.56085";"-56.78552";"-381.1183";"-76.88458";"-145.1275"
"475.475";"-187.1057";"-45.61346";"-56.78046";"-381.2095";"-76.85748";"-145.1934";"-187.1057";"-45.61346";"-56.78046";"-381.2095";"-76.85748";"-145.1934"
"483.8167";"-186.9578";"-45.83032";"-60.95935";"-381.8625";"-76.862";"-145.4261";"-186.9578";"-45.83032";"-60.95935";"-381.8625";"-76.862";"-145.4261"
"492.1583";"-186.9472";"-45.98596";"-58.99286";"-381.7961";"-76.7774";"-145.7216";"-186.9472";"-45.98596";"-58.99286";"-381.7961";"-76.7774";"-145.7216"
"500.5";"-186.7448";"-46.06696";"-57.39319";"-381.9066";"-76.63403";"-145.8903";"-186.7448";"-46.06696";"-57.39319";"-381.9066";"-76.63403";"-145.8903"
"508.8417";"-186.5136";"-46.09772";"-64.16864";"-381.9595";"-76.41248";"-145.9996";"-186.5136";"-46.09772";"-64.16864";"-381.9595";"-76.41248";"-145.9996"
"517.1833";"-186.3339";"-46.23126";"-50";"-381";"-76.25116";"-146.0729";"-186.3339";"-46.23126";"-50";"-381";"-76.25116";"-146.0729"
"525.525";"-186.1291";"-46.08093";"-50.29315";"-381.285";"-76.04559";"-145.9865";"-186.1291";"-46.08093";"-50.29315";"-381.285";"-76.04559";"-145.9865"
"533.8666";"-185.9164";"-45.84949";"-47.76526";"-381.2355";"-75.92151";"-145.7311";"-185.9164";"-45.84949";"-47.76526";"-381.2355";"-75.92151";"-145.7311"
"542.2083";"-185.668";"-45.57465";"-47.59052";"-381.2971";"-75.70471";"-145.5154";"-185.668";"-45.57465";"-47.59052";"-381.2971";"-75.70471";"-145.5154"
"550.55";"-185.4242";"-45.89313";"-51.57959";"-381.2531";"-75.4826";"-145.8088";"-185.4242";"-45.89313";"-51.57959";"-381.2531";"-75.4826";"-145.8088"
"558.8917";"-185.2091";"-46.0874";"-50.86469";"-381.7018";"-75.22919";"-146.0867";"-185.2091";"-46.0874";"-50.86469";"-381.7018";"-75.22919";"-146.0867"
